GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
3986,7808,79,100,1321,6540,29726,3144,14983,38,21834114,55,-77.9828707153052,-4.19262745781211,1,0.572857200162096
4197,8112,85,108,1348,6573,29562,3207,15015,34,22808152,54,-77.9828707153052,-4.75164445218705,1,0.527213802204121
3549,7371,69,89,1415,6275,29209,2974,14898,24,24063802,52,-77.9828707153052,-5.310661446562,1,0.25528989528839
2781,6425,57,79,860,5336,28781,2996,14969,17,26587567,48,-77.9828707153052,-5.86967844093695,1,0.809670939639615
2497,6016,58,76,2347,4560,28573,2116,15818,29,27962804,49,-77.9828707153052,-6.4286954353119,1,0.754944230849669
2476,5958,59,78,3238,4335,28561,2198,16475,32,26631788,46,-77.9828707153052,-6.98771242968684,1,0.708335819164872
3893,7538,79,95,181,6780,29775,3020,13165,36,19209196,51,-77.4238537209302,8.66476341281169,1,0.821029214003182
3988,7728,84,100,75,6608,29684,3647,13622,30,46322468,55,-77.4238537209302,8.10574641843674,1,0.333056368670778
4118,7846,86,101,507,6559,29762,3788,13231,36,45293040,57,-77.4238537209302,7.54672942406179,1,0.48856477491204
3893,7569,75,92,335,6376,29760,5114,12661,30,21113676,52,-77.4238537209302,6.98771242968684,1,0.981007945034679
3718,7375,61,85,0,6148,29741,7218,9334,30,19487407,44,-77.4238537209302,6.4286954353119,1,0.944987054702854
3952,7740,66,88,0,5942,29764,6810,8243,30,14591295,46,-77.4238537209302,5.86967844093695,1,0.152519440640443
3860,7667,63,87,0,5788,29749,6897,8509,28,15304718,46,-77.4238537209302,5.310661446562,1,0.994647002136372
3861,7747,69,87,0,5765,29803,9798,8409,24,13031426,46,-77.4238537209302,4.75164445218705,1,0.627006488885476
3661,7496,55,83,0,5874,29818,15321,8688,24,15934166,46,-77.4238537209302,4.19262745781211,1,0.0820828005873122
3617,7288,66,82,0,6050,29771,17957,7499,28,16195334,47,-77.4238537209302,3.63361046343716,1,0.445800792911409
3570,7188,61,79,0,6028,29769,10255,9307,29,16749975,48,-77.4238537209302,3.07459346906221,1,0.306060167711892
3406,6895,56,79,41,6031,29587,11411,10300,25,33967472,46,-77.4238537209302,2.51557647468726,1,0.448694056593963
3341,6837,59,81,204,5074,29357,5207,14100,31,39310372,47,-77.4238537209302,1.95655948031232,1,0.272362979105807
3184,6733,53,79,558,4476,29069,4229,14794,32,40119503,48,-77.4238537209302,1.39754248593737,1,0.238820808097899
2928,6183,43,63,3157,3959,28543,2913,14586,17,38977712,45,-77.4238537209302,0.838525491562421,1,0.956796119164261
3652,7074,61,81,2898,4565,29241,2882,14602,34,34557052,54,-77.4238537209302,0.279508497187474,1,0.840242117199563
