GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,Region,randomNum
4719,10083,91,103,231,13105,29821,2155,15082,64,34176986,59,-67.3615478221812,-13.6959163621862,1,0.715388698787909
4682,10041,91,105,467,12729,29809,2059,14890,63,34873837,59,-67.3615478221812,-14.2549333565612,1,0.157329869378785
4508,9841,87,105,851,12003,29598,2519,13667,40,34537222,58,-67.3615478221812,-14.8139503509361,1,0.498585123062619
4256,9545,84,103,1094,10774,29488,2564,13239,33,34125225,55,-67.3615478221812,-15.3729673453111,1,0.196601954363515
3303,7968,70,87,1480,8881,29235,2554,13145,27,33531123,50,-67.3615478221812,-15.931984339686,1,0.183115451276665
2517,6617,62,76,3204,6792,28642,1909,14555,22,30352403,45,-67.3615478221812,-16.491001334061,1,0.677186516410177
3968,7490,82,103,542,5846,29681,1339,16557,55,11035091,53,-66.8025308278062,10.3418143959365,1,0.89707135326272
3672,6968,76,97,481,6562,29790,1478,16508,77,25895047,51,-66.8025308278062,9.78279740156158,1,0.602258463461917
3582,7370,79,95,44,6636,29998,2570,16094,93,26555418,54,-66.8025308278062,6.98771242968684,1,0.259874874500353
3873,7485,81,98,79,5904,29702,2477,14985,60,25219636,58,-66.8025308278062,6.4286954353119,1,0.582424613184727
3484,7204,74,91,190,5268,29509,3352,14713,40,22547337,56,-66.8025308278062,5.86967844093695,1,0.476958624328064
3663,7267,76,95,442,5095,29627,2757,15223,43,19855112,57,-66.8025308278062,5.310661446562,1,0.868318681559952
3167,6836,66,84,635,4801,29667,2539,15194,52,19173693,53,-66.8025308278062,4.75164445218705,1,0.675782512833393
3859,7232,79,95,343,5219,29878,2750,14937,51,20036041,59,-66.8025308278062,4.19262745781211,1,0.607432403638624
3444,6485,68,82,111,5740,29864,3792,14514,34,20958901,56,-66.8025308278062,3.63361046343716,1,0.880232024667751
3449,6535,69,81,112,5845,29860,3725,14397,33,21438804,56,-66.8025308278062,3.07459346906221,1,0.805728673518518
3354,6358,68,80,111,5932,29866,3711,14360,33,22580832,55,-66.8025308278062,2.51557647468726,1,0.599029693725108
3363,6398,70,81,109,6210,29866,3675,14439,32,23797252,56,-66.8025308278062,1.95655948031232,1,0.185066343993327
3388,6468,71,83,109,6376,29861,3764,14327,32,24382334,56,-66.8025308278062,1.39754248593737,1,0.931739290030928
3428,6581,73,84,101,6567,29827,3131,14193,31,24816887,56,-66.8025308278062,0.838525491562421,1,0.659778468624911
3850,7285,82,93,105,6804,29842,2967,14275,31,24374157,59,-66.8025308278062,0.279508497187474,1,0.694073838404584
3745,7053,79,91,105,7084,29859,3048,14238,31,23738125,58,-66.8025308278062,-0.279508497187474,1,0.804169457998211
3493,6642,73,85,77,7336,29851,3008,14188,32,23600604,56,-66.8025308278062,-0.838525491562421,1,0.379673606025206
3624,6915,76,87,87,7573,29857,3029,14202,33,22507951,57,-66.8025308278062,-1.39754248593737,1,0.249855957357576
3755,7210,78,89,79,7860,29891,3091,14227,35,21798474,58,-66.8025308278062,-1.95655948031232,1,0.328499362616491
3839,7385,80,91,61,8490,29905,3028,14181,35,21063951,58,-66.8025308278062,-2.51557647468726,1,0.978223037598128
3665,7224,77,87,62,8700,29869,3015,14147,33,20682981,57,-66.8025308278062,-3.07459346906221,1,0.245256603192141
3658,7254,76,87,83,8905,29864,2748,14251,36,20262111,57,-66.8025308278062,-3.63361046343716,1,0.392729253559456
3720,7380,77,87,92,9138,29873,2702,14373,37,19416423,58,-66.8025308278062,-4.19262745781211,1,0.026477077441307
3765,7471,77,87,102,9369,29874,2671,14502,38,18769238,58,-66.8025308278062,-4.75164445218705,1,0.775453065309968
3796,7573,76,86,93,9590,29869,2677,14520,40,18556570,58,-66.8025308278062,-5.310661446562,1,0.444425870170952
3783,7623,75,87,112,9773,29873,2617,14573,42,18144630,58,-66.8025308278062,-5.86967844093695,1,0.116905721559464
3822,7754,75,88,125,10006,29883,2432,14723,45,18242851,58,-66.8025308278062,-6.4286954353119,1,0.997077859973197
3906,7958,76,89,128,10273,29879,2415,14742,47,19228245,58,-66.8025308278062,-6.98771242968684,1,0.678992440949416
3972,8117,76,88,141,10926,29885,2399,14740,48,21579524,58,-66.8025308278062,-7.54672942406179,1,0.442114905358514
4089,8354,78,90,124,11368,29879,2355,14842,49,23820201,58,-66.8025308278062,-8.10574641843674,1,0.152734107800922
4153,8513,78,91,138,12530,29876,2308,14868,51,25348904,58,-66.8025308278062,-8.66476341281169,1,0.311320955859251
4363,8905,80,93,146,13464,29875,2153,14967,56,25908921,59,-66.8025308278062,-9.22378040718663,1,0.533889936401584
4593,9355,84,96,167,13557,29871,2094,15081,57,27059434,59,-66.8025308278062,-9.78279740156158,1,0.431537672960402
4571,9407,84,96,170,13245,29867,2078,15138,57,28165067,59,-66.8025308278062,-10.3418143959365,1,0.891385937647135
4629,9558,86,98,185,12958,29870,2043,15199,58,28718187,59,-66.8025308278062,-10.9008313903115,1,0.152399380811223
4551,9528,85,96,177,12844,29872,1938,15243,59,29492608,59,-66.8025308278062,-11.4598483846864,1,0.508026046405439
4527,9578,84,96,191,12967,29862,2002,15271,66,31028982,59,-66.8025308278062,-12.0188653790614,1,0.725320237044492
4455,9570,81,91,182,13131,29863,1966,15313,69,32045750,56,-66.8025308278062,-12.5778823734363,1,0.727407992628964
4864,10456,94,107,202,12003,29774,2304,14658,62,36505668,59,-66.8025308278062,-14.8139503509361,1,0.806770563816465
4444,9838,86,103,697,10774,29682,2231,14217,52,36193180,58,-66.8025308278062,-15.3729673453111,1,0.692049586173913
3937,9106,80,101,1015,8881,29471,2677,13728,36,35730548,55,-66.8025308278062,-15.931984339686,1,0.542046641335674
3044,7590,70,90,1692,6792,28722,2358,14145,17,33196444,50,-66.8025308278062,-16.491001334061,1,0.131538627279567
4144,7747,83,104,1037,5823,29752,1752,16619,44,9483348,54,-66.2435138334313,10.3418143959365,1,0.445551003647405
3916,7391,81,103,486,6252,29789,1676,16601,67,23507198,53,-66.2435138334313,9.78279740156158,1,0.491588756976816
3542,7288,78,96,40,5811,29892,2390,16060,84,23434061,54,-66.2435138334313,6.98771242968684,1,0.698864213391079
3679,7360,80,97,284,5184,29732,2043,14750,64,22056678,55,-66.2435138334313,6.4286954353119,1,0.527404830958646
3435,7282,76,96,625,4874,29529,3714,14457,41,19303385,55,-66.2435138334313,5.86967844093695,1,0.225827189291746
3905,7457,83,101,704,5093,29778,3071,15261,53,16532255,59,-66.2435138334313,5.310661446562,1,0.47624943735623
3784,7109,77,92,976,5418,29909,3124,15623,59,15945343,58,-66.2435138334313,4.75164445218705,1,0.0435812183615684
3901,7358,80,95,191,5429,29880,3412,15152,45,17459074,59,-66.2435138334313,4.19262745781211,1,0.813500344786025
3860,7462,80,95,125,5389,29810,3841,14773,31,19044937,59,-66.2435138334313,3.63361046343716,1,0.199822441138682
3590,6881,74,86,115,5467,29857,3740,14816,33,19858164,57,-66.2435138334313,3.07459346906221,1,0.523147170389373
3357,6406,69,81,106,5799,29867,3716,14716,33,21676831,56,-66.2435138334313,2.51557647468726,1,0.728388580395351
3351,6386,69,82,109,6149,29864,3374,14720,34,23574838,56,-66.2435138334313,1.95655948031232,1,0.0582484863927702
3205,6143,67,81,104,6237,29839,3196,14266,35,24492982,55,-66.2435138334313,1.39754248593737,1,0.421029869361248
3387,6478,69,82,108,6339,29761,4072,14024,28,25304714,54,-66.2435138334313,0.838525491562421,1,0.0795829465479826
3539,6751,74,87,106,6656,29834,3202,14307,30,24896752,57,-66.2435138334313,0.279508497187474,1,0.513533822966684
3711,7048,78,89,101,7156,29869,2986,14288,32,24029646,58,-66.2435138334313,-0.279508497187474,1,0.565985869879654
3656,6959,77,87,90,7443,29858,2959,14198,32,24153688,58,-66.2435138334313,-0.838525491562421,1,0.29364743901381
3687,7029,76,87,84,7678,29875,2943,14230,35,22954971,57,-66.2435138334313,-1.39754248593737,1,0.868584243324262
3868,7413,81,90,70,7967,29898,3019,14289,35,22155075,59,-66.2435138334313,-1.95655948031232,1,0.73616451432673
3876,7468,80,91,57,8617,29900,2971,14237,35,21356280,58,-66.2435138334313,-2.51557647468726,1,0.663399159882126
3764,7374,78,88,81,8910,29879,2909,14226,34,21116402,58,-66.2435138334313,-3.07459346906221,1,0.962023908102731
3797,7450,78,87,90,9160,29883,2747,14308,36,20693594,58,-66.2435138334313,-3.63361046343716,1,0.88788218698784
3820,7502,77,87,92,9385,29876,2726,14413,37,19843739,58,-66.2435138334313,-4.19262745781211,1,0.928418815606301
3733,7428,75,86,85,9602,29870,2717,14529,39,19179255,57,-66.2435138334313,-4.75164445218705,1,0.712699141028417
3747,7482,75,87,99,9845,29871,2714,14557,40,18949690,57,-66.2435138334313,-5.310661446562,1,0.0832957105545633
3798,7647,75,87,113,10098,29878,2611,14588,43,18504280,57,-66.2435138334313,-5.86967844093695,1,0.254394098746539
3879,7825,76,88,116,10365,29886,2492,14702,44,18538293,58,-66.2435138334313,-6.4286954353119,1,0.34808408950439
3927,7966,76,89,118,10650,29883,2458,14707,46,19436766,58,-66.2435138334313,-6.98771242968684,1,0.896580979447077
3973,8091,76,88,130,11250,29887,2442,14693,47,21591047,58,-66.2435138334313,-7.54672942406179,1,0.718914901600701
4075,8362,77,90,136,11577,29889,2365,14804,51,23709798,58,-66.2435138334313,-8.10574641843674,1,0.260912027563736
4132,8522,78,90,143,12340,29885,2356,14831,54,25653220,58,-66.2435138334313,-8.66476341281169,1,0.128225966785145
4340,8900,80,93,151,13305,29868,2218,14929,55,26557347,59,-66.2435138334313,-9.22378040718663,1,0.75916964691027
4454,9181,82,93,162,13843,29876,2122,15024,57,28394969,59,-66.2435138334313,-9.78279740156158,1,0.804802264287514
4379,9163,81,93,164,13638,29874,2047,15086,58,30231023,58,-66.2435138334313,-10.3418143959365,1,0.264001371680688
4483,9387,83,95,175,13426,29884,1982,15226,58,31173142,59,-66.2435138334313,-10.9008313903115,1,0.799986611672003
4424,9401,82,93,170,13540,29877,1956,15242,60,32832218,58,-66.2435138334313,-11.4598483846864,1,0.429533299626567
4456,9532,83,94,167,13630,29862,2006,15265,65,34794434,58,-66.2435138334313,-12.0188653790614,1,0.888153523635276
4558,9727,85,98,165,13838,29881,1867,15402,73,35544093,58,-66.2435138334313,-12.5778823734363,1,0.778438992935201
4829,10353,91,101,176,13681,29786,2430,14778,63,38507594,59,-66.2435138334313,-14.8139503509361,1,0.264852570222134
4773,10384,90,106,311,12718,29753,2416,14612,58,38280033,59,-66.2435138334313,-15.3729673453111,1,0.209137808768685
4505,10013,84,103,780,11362,29683,2172,14275,55,37949239,58,-66.2435138334313,-15.931984339686,1,0.375976167135046
3424,8281,75,95,1318,9484,28947,3178,13612,21,36096867,53,-66.2435138334313,-16.491001334061,1,0.799234419252678
2295,6311,66,83,3266,4204,28245,2548,15500,16,33786094,48,-66.2435138334313,-17.0500183284359,1,0.242855250127378
4284,7945,85,104,415,6196,29809,1781,15433,44,4492514,55,-65.6844968390563,10.3418143959365,1,0.778873623960242
4267,7921,84,104,466,7087,29824,1807,17176,63,22160295,54,-65.6844968390563,9.78279740156158,1,0.278814778492951
3386,7039,76,90,38,6742,29998,1966,15937,92,23842473,48,-65.6844968390563,7.54672942406179,1,0.517827463469486
3725,7502,85,99,114,5640,29915,2067,15747,79,21873382,50,-65.6844968390563,6.98771242968684,1,0.263957339995043
3725,7476,84,102,494,4947,29728,2230,14560,58,20475199,56,-65.6844968390563,6.4286954353119,1,0.618792720138121
3497,7378,80,101,623,4483,29596,2815,14332,53,17681409,56,-65.6844968390563,5.86967844093695,1,0.415897046243634
3760,7424,81,99,647,4547,29824,2869,15067,66,14870827,58,-65.6844968390563,5.310661446562,1,0.318454350421056
3898,7400,81,96,171,4873,29848,3658,15537,59,14331167,58,-65.6844968390563,4.75164445218705,1,0.300509785984862
3679,7503,77,94,126,4667,29690,4600,15141,37,16170590,56,-65.6844968390563,4.19262745781211,1,0.463315168521619
3425,7007,70,85,234,4633,29637,5671,15091,27,18087955,53,-65.6844968390563,3.63361046343716,1,0.822366432185411
3636,6974,75,87,181,4933,29859,3578,15293,35,19067844,57,-65.6844968390563,3.07459346906221,1,0.449306324245328
3611,6924,75,88,113,5641,29858,3554,15095,34,21224830,58,-65.6844968390563,2.51557647468726,1,0.95774240509206
3604,7015,75,89,108,5890,29833,4125,14955,33,23463630,57,-65.6844968390563,1.95655948031232,1,0.448444657134201
3576,7066,73,87,112,5772,29689,3996,14530,31,24548305,54,-65.6844968390563,1.39754248593737,1,0.0691902580725063
3723,7229,77,90,198,5906,29695,2749,14249,36,25548627,56,-65.6844968390563,0.838525491562421,1,0.191142533454786
3657,7033,75,87,147,6491,29799,3121,14404,31,25158049,56,-65.6844968390563,0.279508497187474,1,0.557162461599384
3735,7141,77,88,86,7177,29877,2850,14315,34,24650189,59,-65.6844968390563,-0.279508497187474,1,0.947085510366039
3789,7177,77,87,79,7539,29869,2891,14168,34,24430230,58,-65.6844968390563,-0.838525491562421,1,0.615027132911575
3771,7162,76,87,77,7757,29881,2715,14245,37,23030975,58,-65.6844968390563,-1.39754248593737,1,0.813711129268701
3820,7373,79,89,65,8018,29897,2989,14404,35,22042693,58,-65.6844968390563,-1.95655948031232,1,0.564580199282034
3882,7482,79,91,59,8724,29907,2935,14319,36,21460511,58,-65.6844968390563,-2.51557647468726,1,0.537843628947936
3844,7486,79,88,75,9147,29891,2865,14284,35,21333112,58,-65.6844968390563,-3.07459346906221,1,0.00901156763168687
3821,7502,78,88,72,9421,29872,2717,14365,36,20909335,58,-65.6844968390563,-3.63361046343716,1,0.28876961994981
3777,7472,76,87,83,9660,29870,2678,14445,38,20057397,57,-65.6844968390563,-4.19262745781211,1,0.654967458597502
3792,7517,76,87,100,9892,29877,2633,14547,40,19384263,58,-65.6844968390563,-4.75164445218705,1,0.871807619364517
3769,7530,75,86,100,10154,29877,2709,14568,42,19146250,57,-65.6844968390563,-5.310661446562,1,0.712922989157664
3816,7690,75,87,102,10446,29888,2642,14590,44,18684105,57,-65.6844968390563,-5.86967844093695,1,0.734041689570734
3883,7841,76,89,111,10767,29893,2517,14677,44,18686014,58,-65.6844968390563,-6.4286954353119,1,0.753852124937085
3897,7974,75,88,106,11095,29884,2516,14678,45,19541026,57,-65.6844968390563,-6.98771242968684,1,0.0626090432730193
3923,8071,75,88,121,11838,29888,2482,14682,48,21596810,57,-65.6844968390563,-7.54672942406179,1,0.778434207849824
4021,8281,76,89,126,12182,29895,2375,14791,51,23654597,58,-65.6844968390563,-8.10574641843674,1,0.0166322585295355
4110,8470,77,90,134,12689,29891,2343,14825,53,25805378,58,-65.6844968390563,-8.66476341281169,1,0.349494042096086
4230,8716,79,91,146,13566,29868,2229,14906,56,26881561,58,-65.6844968390563,-9.22378040718663,1,0.667894710891239
4198,8812,77,88,153,14457,29880,2105,14994,57,29062737,58,-65.6844968390563,-9.78279740156158,1,0.58258150729474
4216,8912,77,89,159,14417,29877,2097,15092,58,31264001,58,-65.6844968390563,-10.3418143959365,1,0.793614597076611
4326,9181,80,92,165,14158,29880,2023,15272,59,32400620,58,-65.6844968390563,-10.9008313903115,1,0.0801216611055029
4307,9262,80,90,158,14117,29869,2021,15312,61,34641615,58,-65.6844968390563,-11.4598483846864,1,0.0758882640101217
4438,9516,83,94,169,14155,29867,1995,15338,65,36677160,58,-65.6844968390563,-12.0188653790614,1,0.499371921447116
4501,9695,84,95,166,14425,29897,1853,15487,73,36081794,59,-65.6844968390563,-12.5778823734363,1,0.174937121968803
4810,10528,90,101,222,14018,29784,2296,14814,65,39323459,59,-65.6844968390563,-15.3729673453111,1,0.0883479150242985
4771,10515,88,102,314,13283,29764,2427,14598,60,39058584,59,-65.6844968390563,-15.931984339686,1,0.212261314984669
4374,9934,82,101,733,12256,29457,3201,13517,37,37547079,58,-65.6844968390563,-16.491001334061,1,0.552381101584165
2941,7534,72,91,3775,7889,28890,4690,14354,20,35660515,51,-65.6844968390563,-17.0500183284359,1,0.0887018508640269
1497,4702,63,83,3173,4548,28585,1114,18083,55,34741180,43,-65.6844968390563,-17.6090353228108,1,0.0761225196820012
3819,7494,86,101,42,6418,29992,2074,15506,86,21318793,52,-65.1254798446814,7.54672942406179,1,0.939895296819805
3847,7527,86,101,113,5478,29926,2409,15149,67,19223183,53,-65.1254798446814,6.98771242968684,1,0.508093272561318
3545,7292,80,96,293,5036,29634,2543,14247,47,17826113,52,-65.1254798446814,6.4286954353119,1,0.983359082835308
3194,7029,72,89,638,4641,29500,2760,13997,39,15027941,50,-65.1254798446814,5.86967844093695,1,0.719127880107855
3316,7177,74,93,478,4445,29484,2383,14265,43,12213883,53,-65.1254798446814,5.310661446562,1,0.713150028388924
3767,7757,84,102,190,4483,29600,2213,14585,47,11778805,54,-65.1254798446814,4.75164445218705,1,0.293918540159393
3114,7071,68,84,374,4292,29317,3428,14713,30,14194305,50,-65.1254798446814,4.19262745781211,1,0.945053239167154
3833,7758,81,96,418,4224,29687,4691,15504,42,16695834,58,-65.1254798446814,3.63361046343716,1,0.405738920689725
3956,7608,82,96,524,4710,29793,3889,15659,37,17953776,60,-65.1254798446814,3.07459346906221,1,0.0994568153219512
3940,7558,82,94,140,5434,29842,3244,15477,36,20546617,60,-65.1254798446814,2.51557647468726,1,0.0402281777519917
4031,7871,83,96,123,5693,29719,3080,15074,35,23170158,58,-65.1254798446814,1.95655948031232,1,0.3951092951786
3884,7759,80,92,196,5725,29621,3163,15187,32,24443645,56,-65.1254798446814,1.39754248593737,1,0.597861330622616
3945,7625,81,95,772,6267,29864,1982,14816,50,25686841,58,-65.1254798446814,0.838525491562421,1,0.0110087160484458
3758,7235,77,89,287,6927,29855,2577,14395,37,25379473,58,-65.1254798446814,0.279508497187474,1,0.30044582269907
3729,7161,76,87,84,7346,29876,3042,14310,34,24515636,58,-65.1254798446814,-0.279508497187474,1,0.347488309488666
3782,7217,77,87,72,7635,29868,2905,14115,34,24758539,58,-65.1254798446814,-0.838525491562421,1,0.688187715273119
3818,7270,77,88,72,7836,29862,2745,14168,33,23768550,58,-65.1254798446814,-1.39754248593737,1,0.336790554887742
3785,7290,77,89,61,8061,29894,2730,14379,38,23162070,58,-65.1254798446814,-1.95655948031232,1,0.126826969963389
3778,7357,77,89,55,8802,29916,2826,14417,38,21233521,58,-65.1254798446814,-2.51557647468726,1,0.53303289760562
3882,7555,79,89,64,9335,29917,2804,14466,38,21689571,58,-65.1254798446814,-3.07459346906221,1,0.904247052447183
3859,7560,78,89,80,9760,29893,2662,14375,38,21252034,58,-65.1254798446814,-3.63361046343716,1,0.282730893049177
3782,7506,76,87,94,9980,29883,2660,14413,38,20372692,58,-65.1254798446814,-4.19262745781211,1,0.527606654189931
3780,7531,75,86,92,10168,29886,2610,14521,41,19690893,57,-65.1254798446814,-4.75164445218705,1,0.794798467274676
3798,7590,75,86,94,10445,29890,2603,14569,43,19459823,57,-65.1254798446814,-5.310661446562,1,0.30454911997396
3834,7716,75,88,101,10775,29899,2691,14638,43,19011758,58,-65.1254798446814,-5.86967844093695,1,0.0145847343360254
3892,7859,76,89,94,11152,29906,2581,14681,46,19008938,58,-65.1254798446814,-6.4286954353119,1,0.744971801233633
3949,8045,76,89,107,11531,29909,2547,14687,48,19828303,58,-65.1254798446814,-6.98771242968684,1,0.284812855376903
3975,8154,76,89,113,12503,29921,2471,14679,49,21798549,58,-65.1254798446814,-7.54672942406179,1,0.927989041877507
3982,8246,75,88,113,12893,29903,2446,14748,51,23817877,58,-65.1254798446814,-8.10574641843674,1,0.00578531031556251
3984,8295,74,87,122,13483,29900,2413,14774,53,26267860,57,-65.1254798446814,-8.66476341281169,1,0.471826999347643
4197,8694,78,91,133,14396,29885,2346,14946,55,27579441,58,-65.1254798446814,-9.22378040718663,1,0.137733860192508
4072,8608,75,87,144,15612,29896,2195,15047,57,30230986,58,-65.1254798446814,-9.78279740156158,1,0.285691629933202
4347,9160,80,91,154,15945,29880,2140,15148,58,32927700,59,-65.1254798446814,-10.3418143959365,1,0.538151088547028
4386,9348,82,94,151,15142,29872,2033,15282,59,34326213,59,-65.1254798446814,-10.9008313903115,1,0.337508011294507
4365,9398,82,93,164,14455,29880,1941,15341,61,36217080,59,-65.1254798446814,-11.4598483846864,1,0.813701515705721
4286,9313,80,90,171,14354,29897,1855,15425,66,38774996,58,-65.1254798446814,-12.0188653790614,1,0.523297200061724
4480,9716,87,97,158,14644,29905,1858,15563,68,38780819,58,-65.1254798446814,-12.5778823734363,1,0.186109141957647
4908,10937,91,104,236,13789,29707,2639,13987,49,39583762,60,-65.1254798446814,-16.491001334061,1,0.880454789000847
3676,8776,75,94,2037,11111,29598,3258,13160,37,38514277,53,-65.1254798446814,-17.0500183284359,1,0.0556140529801317
3043,7633,72,90,3333,7311,28642,1820,15748,29,37894406,51,-65.1254798446814,-17.6090353228108,1,0.537498012546654
3842,7084,81,97,7,5677,29879,1513,14975,68,3170824,59,-64.5664628503064,10.3418143959365,1,0.631465954963748
3985,7792,94,112,68,5182,29908,2560,15235,69,17919151,55,-64.5664628503064,6.98771242968684,1,0.880475879686837
3802,7543,87,104,270,4957,29822,4278,14345,51,16645238,55,-64.5664628503064,6.4286954353119,1,0.754161904780638
3726,7435,83,102,621,4801,29750,4785,14022,45,14061571,54,-64.5664628503064,5.86967844093695,1,0.373989261937232
3699,7373,80,98,802,4711,29718,4092,14235,45,11459546,53,-64.5664628503064,5.310661446562,1,0.846880863607984
3450,7398,75,91,599,4435,29422,4351,14431,31,11157837,49,-64.5664628503064,4.75164445218705,1,0.493554414835701
3429,7430,74,90,1086,4284,29375,2528,14739,32,13934254,51,-64.5664628503064,4.19262745781211,1,0.131891399086592
3494,7450,75,90,1018,4478,29447,2512,15383,39,16794697,53,-64.5664628503064,3.63361046343716,1,0.461014072856945
3912,7852,82,96,508,4695,29672,3224,15434,42,18172771,57,-64.5664628503064,3.07459346906221,1,0.115334743346172
4141,8060,85,98,167,4934,29691,3784,15397,34,20513513,59,-64.5664628503064,2.51557647468726,1,0.287672212879501
4246,8348,87,100,234,5673,29635,2381,15079,40,22673664,57,-64.5664628503064,1.95655948031232,1,0.405150679714591
4033,7961,82,95,465,5940,29636,2319,15212,40,23723820,56,-64.5664628503064,1.39754248593737,1,0.070084505940165
3803,7337,77,89,252,6735,29865,3212,14715,36,24826159,59,-64.5664628503064,0.838525491562421,1,0.390720167483829
3687,7139,74,86,115,7211,29859,3101,14251,33,24740407,58,-64.5664628503064,0.279508497187474,1,0.764943487236173
3738,7193,75,87,82,7503,29880,3072,14251,34,22705415,58,-64.5664628503064,-0.279508497187474,1,0.934837761670829
3716,7143,74,85,63,7726,29866,2895,14121,34,24300084,58,-64.5664628503064,-0.838525491562421,1,0.938719560519146
3821,7294,77,88,66,7918,29862,2774,14099,34,23812918,59,-64.5664628503064,-1.39754248593737,1,0.31010658730112
3813,7333,77,89,70,8161,29867,2687,14282,34,23459799,58,-64.5664628503064,-1.95655948031232,1,0.647692942398235
3853,7456,78,90,52,8878,29897,2747,14374,36,22468690,59,-64.5664628503064,-2.51557647468726,1,0.919171652643473
3692,7317,75,87,50,9389,29915,2766,14517,38,20532427,57,-64.5664628503064,-3.07459346906221,1,0.646074725093555
3833,7551,77,89,68,9927,29891,2760,14417,38,20391371,58,-64.5664628503064,-3.63361046343716,1,0.183454897515353
3751,7486,75,86,79,10257,29879,2663,14391,38,20367925,58,-64.5664628503064,-4.19262745781211,1,0.850002700374688
3799,7585,75,86,85,10520,29889,2573,14498,41,19702132,58,-64.5664628503064,-4.75164445218705,1,0.978369498263511
3855,7726,75,87,86,10799,29897,2666,14570,43,19546119,58,-64.5664628503064,-5.310661446562,1,0.324915403309183
3870,7798,75,87,88,11156,29921,2590,14644,45,19247988,58,-64.5664628503064,-5.86967844093695,1,0.254410411860342
3935,7962,76,88,77,11523,29918,2602,14685,47,19410388,58,-64.5664628503064,-6.4286954353119,1,0.568620547138442
3947,8039,75,87,81,11938,29927,2504,14660,48,20340602,58,-64.5664628503064,-6.98771242968684,1,0.73294392635278
3897,8058,73,85,78,13099,29916,2553,14655,49,22543763,57,-64.5664628503064,-7.54672942406179,1,0.629315395896731
3915,8151,72,85,100,13762,29908,2428,14698,53,24763107,57,-64.5664628503064,-8.10574641843674,1,0.027508203532761
4033,8370,74,87,108,14576,29906,2411,14755,54,27182247,57,-64.5664628503064,-8.66476341281169,1,0.295785256273785
4122,8593,76,89,119,15605,29911,2282,14984,57,28275801,58,-64.5664628503064,-9.22378040718663,1,0.120945339410201
4398,9237,80,92,130,16930,29887,2303,15085,58,30921271,60,-64.5664628503064,-9.78279740156158,1,0.143700164781559
4330,9205,80,92,163,16965,29873,2199,15141,60,33442096,59,-64.5664628503064,-10.3418143959365,1,0.73289587757949
4457,9483,84,97,178,15690,29852,2052,15190,58,34739340,60,-64.5664628503064,-10.9008313903115,1,0.461119083806387
4441,9549,84,97,162,14518,29861,1949,15281,60,37298270,60,-64.5664628503064,-11.4598483846864,1,0.533645455025759
4325,9454,82,94,146,14390,29874,1933,15397,62,39426715,59,-64.5664628503064,-12.0188653790614,1,0.289170134419899
4565,9864,87,98,147,14814,29885,1877,15538,67,39602019,59,-64.5664628503064,-12.5778823734363,1,0.840359095501235
4797,10617,90,100,147,15787,29872,1823,15455,77,39786406,59,-64.5664628503064,-14.2549333565612,1,0.158500681563534
4797,10617,90,100,153,15512,29832,1958,15293,73,40428712,59,-64.5664628503064,-14.8139503509361,1,0.0229276694863186
4623,10336,83,93,164,15088,29815,2054,15135,70,40564316,57,-64.5664628503064,-15.3729673453111,1,0.599370336189568
4641,10378,85,95,172,14944,29789,2124,14940,66,40566414,58,-64.5664628503064,-15.931984339686,1,0.648456808490244
4796,10756,89,99,185,14573,29720,2304,14156,56,39877192,59,-64.5664628503064,-16.491001334061,1,0.488952544116562
4138,9628,79,96,293,12901,29669,2975,13374,43,38810669,56,-64.5664628503064,-17.0500183284359,1,0.993260360038955
3435,8306,74,93,1804,9783,28849,1899,14940,25,38169388,54,-64.5664628503064,-17.6090353228108,1,0.513111219827362
3314,6237,75,92,0,4959,29598,1181,16487,64,6383269,54,-64.0074458559315,10.3418143959365,1,0.382916783035355
3050,5814,73,89,158,6535,29761,772,15999,79,18715219,52,-64.0074458559315,9.78279740156158,1,0.546088184614162
4151,7935,97,112,87,5724,29950,1808,16145,91,19327317,54,-64.0074458559315,7.54672942406179,1,0.0740072729972843
4101,7979,97,115,155,4884,29863,1986,15955,76,17435406,56,-64.0074458559315,6.98771242968684,1,0.832908672148204
3935,7736,91,108,200,4796,29786,2669,15330,63,16238326,57,-64.0074458559315,6.4286954353119,1,0.253906696807075
3590,7321,79,96,278,4532,29646,4028,15121,43,13789273,54,-64.0074458559315,5.86967844093695,1,0.170218382650668
3768,7498,81,97,313,4612,29730,3575,15367,41,11320202,55,-64.0074458559315,5.310661446562,1,0.471417154355404
3411,7056,71,87,1077,4709,29604,4022,15495,38,11088777,52,-64.0074458559315,4.75164445218705,1,0.231679523558507
3788,7726,80,99,955,4674,29634,3647,15422,38,14018757,54,-64.0074458559315,4.19262745781211,1,0.304790735551509
3965,7967,83,102,1066,4829,29626,2056,15226,43,17030501,55,-64.0074458559315,3.63361046343716,1,0.497779433683195
3468,7337,73,90,958,5011,29489,1860,15159,42,18448900,49,-64.0074458559315,3.07459346906221,1,0.843457808486827
3902,7941,81,97,471,4960,29426,1910,15154,40,20577600,54,-64.0074458559315,2.51557647468726,1,0.82380616856441
4223,8226,86,101,355,5803,29745,1911,15531,51,22400040,58,-64.0074458559315,1.95655948031232,1,0.0570854202792287
4095,7913,82,94,595,6347,29841,1887,15171,54,23287013,57,-64.0074458559315,1.39754248593737,1,0.143647703772094
