site,isSoS,phenoDate,ta,sw,sm
1,1,730408.5,10.2582151692709,209.22020417051,1.08412046781131
1,1,730784.5,12.6192431233724,246.218567499043,1.92426789182945
1,1,731139,10.9556398664202,167.337204860707,1.11308546312884
1,1,731494,10.3433641270229,186.788487723214,2.13535461076209
1,1,731930,15.2348417445592,301.935939153439,0.300657774562926
1,1,732230.5,11.4532614746094,184.5229860659,0.615144803242234
1,1,732600,11.0695384434292,210.256077451353,0.626481986166671
1,1,732970.5,10.8718120117188,213.130978479456,0.991694935724357
1,1,733208.5,6.15161523437502,76.9678811728395,0.613766087424021
1,1,733600,5.81494280133931,65.4108498677249,0.400402957572074
1,1,734087,12.67405330113,258.232205687831,0.476947003967932
1,1,734487,15.4509574236189,327.857457010582,1.77742227995042
1,1,734791,9.84337764195036,143.362272865255,0.838747592281631
1,1,735131,11.3367587716239,164.272035383598,0.3483047174614
1,1,735522,10.2269509015765,200.907092113596,0.949310521751411
1,1,735877,9.6952655029297,190.620619471313,1.03645941500184
1,1,736289,17.3500592912947,328.904722222222,0.313926947349653
1,1,736623.5,11.8768465169271,210.502085206962,0.648902681646193
1,1,736983,12.1781113542829,213.786985307118,0.286229275055838
1,1,737323,11.1509484427316,173.33949239418,0.220616615239422
1,1,737659,6.00907117571151,112.032213955026,0.248311177363256
1,0,730240.5,9.28276778157554,95.2646975308642,0.580921647276888
1,0,730489.5,19.1066209309896,326.899172839506,1.96622612790291
1,0,730865.5,20.7830790608724,297.428875,0.275280305866232
1,0,731200.5,20.2165567220052,357.790959876543,0.939124668865236
1,0,731575.5,20.1637048746745,331.307432098766,0.169609511992519
1,0,731992,21.2007778494699,250.317681059661,0.151209818552141
1,0,732291,19.0574611118862,334.583015873016,0.495930633061838
1,0,732701.5,17.9559243977865,311.166654320988,0.384948810400864
1,0,733026,19.2472356741769,343.327503306878,0.153622495264213
1,0,733436,19.4731409563337,286.778272156085,0.0700215778381973
1,0,733787.5,22.395166015625,315.911114197531,1.27203436586617
1,0,734137,19.8555238996233,321.223075396825,0.653547680467074
1,0,734558,19.8741245378767,223.538960949529,0.974046935742333
1,0,734869,22.4446839250837,323.474011243386,0.551621886927397
1,0,735314,14.2707138061524,169.621228505291,0.629156526636491
1,0,735583.5,18.7130374348959,345.471154320988,0.375053990543014
1,0,735948,17.5592263793946,309.323525132275,0.976785547456949
1,0,736348,19.7695093645368,274.76095734127,0.878272594254236
1,0,736674,20.7793377249582,347.999212962963,0.232455626472601
1,0,737044.5,18.9385975341797,310.954845679012,0.10089002705074
1,0,737505.5,17.7095820719401,172.333813271605,0.257606288498301
2,1,730418.5,7.03838834635419,229.276797486482,0.779100651291347
2,1,730805,6.81164760044645,280.62830026455,0.890726401088427
2,1,731160,5.83971670968194,259.098946759259,0.60118237640912
2,1,731525,3.8109864153181,237.198991402117,1.89545615767151
2,1,731879.5,3.86976843261721,208.88019944178,0.627496052253996
2,1,732256,5.01111986432759,260.000314153439,0.454798866990897
2,1,732631,6.84894688197547,275.384963624339,1.50856862680589
2,1,733001.5,7.54536169433596,295.926401234568,0.66141255859525
2,1,733340.5,4.41431376139325,229.286823549612,0.792785621751888
2,1,733727,6.0376057652065,287.187880291005,0.700943241163866
2,1,734112,6.27483468191967,325.551832010582,0.763733395379324
2,1,734447,6.51055040631978,254.301580687831,1.60697147953481
2,1,734827.5,8.16168599446616,292.095669753086,0.649428666677288
2,1,735167.5,5.91025476074221,230.871875778763,0.621281746054731
2,1,735543,6.15039393833708,272.968326719577,0.400736951052138
2,1,735897.5,4.78262422688804,239.888086422767,0.68476384306177
2,1,736273,4.15431130545482,261.796183862434,0.811968008079508
2,1,736628.5,5.0744870605469,254.460114961977,0.421225652096603
2,1,736983,3.77429997035438,196.050202899711,1.26721166266359
2,1,737369,5.56759299142022,243.107738095238,1.50669987945823
2,1,737693,1.44706268310549,158.23830026455,0.290279605459515
2,0,730255.5,-0.412514851887997,56.2043086419753,0.497668221014812
2,0,730536,11.2653713117327,210.234251673058,0.825745096364502
2,0,730915,6.82750680106029,204.924409718993,1.07912593819869
2,0,731241.5,12.649659383138,286.742666666667,2.87360505250357
2,0,731676,5.42422066824779,90.2362913359788,1.29478526225022
2,0,731992,14.480158429827,216.127925768655,0.952460157106523
2,0,732337.5,17.1634958089193,292.926432098765,0.767699347660134
2,0,732732.5,9.52944230143231,188.346618097753,1.37311361480338
2,0,733116.5,9.74333402506513,160.08513589892,1.51122379596131
2,0,733443,12.773600202288,250.242653769841,0.870858576489345
2,0,733877,5.67552389962335,85.8395552248677,1.56862856981554
2,0,734283.5,0.402870198567731,42.2289197530864,1.49208099936315
2,0,734518,10.5043427821568,279.838799603175,1.37221036442811
2,0,734903,10.0710244315011,226.790257936508,1.08594875270026
2,0,735259.5,14.1673844807943,287.960580246914,0.663483562915939
2,0,735654,9.21137045724053,199.200243071702,0.604894141818817
2,0,736068,5.45457541329523,85.4318353174604,1.6546708023836
2,0,736384.5,12.0942777506511,211.497200720328,0.417588067178719
2,0,736810,3.97885929652625,62.7203869047619,1.24714254264675
2,0,737106,12.8663077218192,235.470784411556,1.15489993659835
2,0,737580.5,-0.435953369140603,43.0653364197531,0.562135046899136
3,1,730398,15.3184149605888,212.924643803349,3.00624517171847
3,1,730764,12.0736523001535,228.761018951254,1.63840279458545
3,1,731129,12.3715172467913,173.972435877563,3.05820917825652
3,1,731565,19.2949754115514,283.971220238095,1.38568461840234
3,1,731976.5,25.5039827067057,330.799969135802,0.894197493854579
3,1,732301,21.0945739310128,303.487589285714,3.48711711915651
