site,isSoS,phenoYY,phenoDoY,ta,sw,sm
1,1,1999,289,10.3701815359933,207.496728964104,1.10871122072523
1,1,2000,300,12.7435151890346,253.239686810731,1.9171661447943
1,1,2001,288,10.9556398664202,167.337204860707,1.11308546312884
1,1,2002,278,10.3433641270229,186.788487723214,2.13535461076209
1,1,2003,349,15.2348417445592,301.935939153439,0.300657774562926
1,1,2004,285,11.4758138166155,182.862612385422,0.629115681197541
1,1,2005,288,11.0695384434292,210.256077451353,0.626481986166671
1,1,2006,294,10.8235181100028,214.031206739315,1.01420490749092
1,1,2007,167,6.4698276628767,77.5541104497355,0.627695809709117
1,1,2008,193,5.81494280133931,65.4108498677249,0.400402957572074
1,1,2009,314,12.67405330113,258.232205687831,0.476947003967932
1,1,2010,349,15.4509574236189,327.857457010582,1.77742227995042
1,1,2011,288,9.84337764195036,143.362272865255,0.838747592281631
1,1,2012,263,11.3367587716239,164.272035383598,0.3483047174614
1,1,2013,288,10.2269509015765,200.907092113596,0.949310521751411
1,1,2014,278,9.6952655029297,190.620619471313,1.03645941500184
1,1,2015,325,17.3500592912947,328.904722222222,0.313926947349653
1,1,2016,295,11.8674092755999,210.674403875845,0.663625544286814
1,1,2017,288,12.1781113542829,213.786985307118,0.286229275055838
1,1,2018,263,11.1509484427316,173.33949239418,0.220616615239422
1,1,2019,234,6.00907117571151,112.032213955026,0.248311177363256
1,0,1999,289,9.38911499023439,97.0883267195768,0.589644174679468
1,0,2000,300,18.9762715366909,329.372595899471,2.00993231801849
1,0,2001,288,20.4714763096401,297.709310515873,0.250758328008209
1,0,2002,278,20.3649345179967,355.802222222222,0.960458522389343
1,0,2003,349,20.3796482631139,332.525337301587,0.16028649946181
1,0,2004,285,21.2007778494699,250.317681059661,0.151209818552141
1,0,2005,288,19.0574611118862,334.583015873016,0.495930633061838
1,0,2006,294,17.9423014177595,308.875051256614,0.393668522005296
1,0,2007,167,19.2472356741769,343.327503306878,0.153622495264213
1,0,2008,193,19.4731409563337,286.778272156085,0.0700215778381973
1,0,2009,314,22.0895297241211,312.210958994709,1.30094423781767
1,0,2010,349,19.8555238996233,321.223075396825,0.653547680467074
1,0,2011,288,19.8741245378767,223.538960949529,0.974046935742333
1,0,2012,263,22.4446839250837,323.474011243386,0.551621886927397
1,0,2013,288,14.2707138061524,169.621228505291,0.629156526636491
1,0,2014,278,18.5841208757673,341.64955026455,0.383538911470603
1,0,2015,325,17.5592263793946,309.323525132275,0.976785547456949
1,0,2016,295,19.7695093645368,274.76095734127,0.878272594254236
1,0,2017,288,20.7793377249582,347.999212962963,0.232455626472601
1,0,2018,263,19.0101255144392,311.079867724868,0.103069462456741
1,0,2019,234,17.739461844308,169.649429563492,0.263431851878967
2,1,1999,299,7.1217659214565,229.294396581498,0.749345321629119
2,1,2000,320,6.81164760044645,280.62830026455,0.890726401088427
2,1,2001,309,5.83971670968194,259.098946759259,0.60118237640912
2,1,2002,309,3.8109864153181,237.198991402117,1.89545615767151
2,1,2003,299,4.06362370082313,210.665855687043,0.615388170117435
2,1,2004,310,5.01111986432759,260.000314153439,0.454798866990897
2,1,2005,319,6.84894688197547,275.384963624339,1.50856862680589
2,1,2006,325,7.87749184744701,298.324580026455,0.659373485540823
2,1,2007,299,4.60611934116911,230.930736510249,0.809739398417362
2,1,2008,320,6.0376057652065,287.187880291005,0.700943241163866
2,1,2009,339,6.27483468191967,325.551832010582,0.763733395379324
2,1,2010,309,6.51055040631978,254.301580687831,1.60697147953481
2,1,2011,325,8.05687901088172,291.46662037037,0.647923791659979
2,1,2012,300,6.25148502894813,235.295931927313,0.531643020767802
2,1,2013,309,6.15039393833708,272.968326719577,0.400736951052138
2,1,2014,299,4.6725680106027,239.466058462637,0.698604059468573
2,1,2015,309,4.15431130545482,261.796183862434,0.811968008079508
2,1,2016,300,5.06459716796877,255.796731608154,0.430798962371525
2,1,2017,288,3.77429997035438,196.050202899711,1.26721166266359
2,1,2018,309,5.56759299142022,243.107738095238,1.50669987945823
2,1,2019,268,1.44706268310549,158.23830026455,0.290279605459515
2,0,1999,299,-0.618501281738258,54.939871031746,0.504980880854236
2,0,2000,320,11.2653713117327,210.234251673058,0.825745096364502
2,0,2001,309,6.82750680106029,204.924409718993,1.07912593819869
2,0,2002,309,12.583539995466,281.787156084656,2.93889488673506
2,0,2003,299,5.42422066824779,90.2362913359788,1.29478526225022
2,0,2004,310,14.480158429827,216.127925768655,0.952460157106523
2,0,2005,319,17.5607406616211,289.472367724868,0.785107978425873
2,0,2006,325,9.29886160714288,183.5152951841,1.40430123543801
2,0,2007,299,9.86756212506978,157.986016865079,1.54549358855165
2,0,2008,320,12.773600202288,250.242653769841,0.870858576489345
2,0,2009,339,5.67552389962335,85.8395552248677,1.56862856981554
2,0,2010,309,0.292627432686965,42.531421957672,1.51341535111925
2,0,2011,325,10.5043427821568,279.838799603175,1.37221036442811
2,0,2012,300,10.0710244315011,226.790257936508,1.08594875270026
2,0,2013,309,14.20376953125,285.762278439153,0.644492584381677
2,0,2014,299,9.21137045724053,199.200243071702,0.604894141818817
2,0,2015,309,5.45457541329523,85.4318353174604,1.6546708023836
2,0,2016,300,11.8898629760742,216.264097332626,0.420061856813738
2,0,2017,288,3.97885929652625,62.7203869047619,1.24714254264675
2,0,2018,309,12.8663077218192,235.470784411556,1.15489993659835
2,0,2019,268,-0.333612845284576,42.4096031746032,0.573898901378136
3,1,1999,278,15.3184149605888,212.924643803349,3.00624517171847
3,1,2000,279,12.0736523001535,228.761018951254,1.63840279458545
3,1,2001,278,12.3715172467913,173.972435877563,3.05820917825652
3,1,2002,349,19.2949754115514,283.971220238095,1.38568461840234
3,1,2004,31,25.4853827776228,329.917552910053,0.914238315173274
3,1,2004,355,21.0945739310128,303.487589285714,3.48711711915651
3,1,2005,268,10.1353153337751,209.504393187831,1.51841254980603
3,1,2006,349,20.9124686540876,329.581001984127,1.56902084498635
3,1,2007,270,10.1003261021206,145.266896494709,1.53728933322572
3,1,2008,289,14.7532590157645,251.077525633353,1.33650358729137
3,1,2009,361,20.4753807285854,321.827490079365,1.96628370866879
3,1,2010,288,12.6260884748187,231.498016554414,1.89517159822852
3,1,2011,268,14.800402570452,235.724289021164,0.350327727504197
3,1,2012,289,14.13652230399,222.539344367376,1.06031939517366
3,1,2013,294,15.4960990687779,248.938985043077,1.07741082185294
3,1,2014,258,12.1833568464007,162.22556547619,1.80182660645761
3,1,2015,299,10.570191999163,216.038464432974,2.68542287594146
3,1,2016,279,16.0706219046457,227.011872361602,0.227472098087085
3,1,2017,299,14.7617810494559,269.263880251728,1.81626210528913
3,1,2019,15,24.4714544241769,363.301613756614,0.810790928660119
3,1,2019,315,19.5003930228097,315.512771164021,0.47014295961979
3,0,1999,278,8.60242758614679,92.756507936508,1.08293955183755
3,0,2000,279,10.2701377214704,108.723604497355,1.2740288967852
3,0,2001,278,6.59766754150393,101.829699074074,0.45958121549041
3,0,2002,349,9.39348223005024,104.878366402116,1.27409792215253
3,0,2004,31,10.4810941859654,107.011570767196,0.106112163956062
3,0,2004,355,10.5385173252651,114.613908730159,1.35016180808734
3,0,2005,268,14.6729730660575,188.085074404762,0.820933470240219
3,0,2006,349,10.5670796421596,96.2556150793651,1.41270637118154
3,0,2007,270,5.76469512939455,108.150849867725,0.940273395775858
3,0,2008,289,14.4917516217913,171.484055886243,0.99288378150707
3,0,2009,361,20.1511076136998,212.668129960317,0.267234053691758
3,0,2010,288,11.028549281529,125.120089285714,1.08323138297676
3,0,2011,268,12.8006677246094,154.419047619048,0.137900312718209
3,0,2012,289,11.4588492257255,139.246944444444,0.265789285228751
3,0,2013,294,17.8882894461496,194.503194444445,3.296577201952
3,0,2014,258,9.36992998395649,116.542136243386,0.190921933994998
3,0,2015,299,12.635900050572,146.083705357143,0.202545784212951
3,0,2016,279,11.4616190883092,63.192876984127,3.85034842947153
3,0,2017,299,9.00329236711777,108.372688492063,1.12213138016221
3,0,2019,15,17.2844772774833,173.650211640212,1.69541668097912
3,0,2019,315,17.4214189365932,244.365900297619,0.27684341664148
4,1,1999,299,16.4455605643137,269.378311925414,1.00131955480128
4,1,2000,279,12.3602148001535,212.879702813688,2.26734524898855
4,1,2001,288,12.6284467860631,132.159227016792,2.41956271992541
4,1,2002,268,10.7848499843053,173.67035218254,1.44345294160552
4,1,2003,284,16.5025481305804,246.404831643079,0.289963695578392
4,1,2004,289,16.6049542236328,222.784744997781,0.707981656315825
4,1,2005,278,15.9373965018136,235.544268198165,0.487952370423741
4,1,2006,294,14.6492044939314,235.549865800161,1.71545287594789
4,1,2007,278,10.8468785749163,215.126216446811,1.29267361724866
4,1,2008,259,10.7007254900251,182.042863756614,0.391444727406487
4,1,2009,294,14.5231460571289,268.98053381501,0.487033325167035
4,1,2010,288,13.4495315551758,218.991917017377,1.51281457524947
4,1,2011,276,14.9611720929827,223.9142024675,0.230741981474739
4,1,2012,289,14.6717510986328,228.956771616053,0.311467296643674
4,1,2013,187,7.7157233973912,85.6237797619047,0.209242742465628
4,1,2014,238,11.0399943760463,152.224803240741,0.3787198724236
4,1,2016,10,25.5172570800782,340.699001322751,1.30229369137094
4,1,2016,279,14.2670727975028,209.996963300755,0.297457772273272
4,1,2017,288,14.1644450596401,229.065374857383,0.755481064885785
4,1,2018,309,14.8214378574916,214.96818287037,1.8824282563453
4,1,2019,284,15.5610510253907,236.157911922717,0.503625414590077
4,0,1999,299,7.94569209507536,72.4577943121693,1.61783400469119
4,0,2000,279,21.1093632725307,231.960447109565,1.0313650714784
4,0,2001,288,10.1430787440709,135.821564153439,1.05540123965462
4,0,2002,268,22.3605492292132,269.89176064789,1.99208469478471
4,0,2003,284,15.1592242431641,171.287217261905,1.2177505904222
4,0,2004,289,8.17558096749445,85.354537037037,0.295431381418803
4,0,2005,278,23.0451245989119,258.379462060676,0.268885761869826
4,0,2006,294,12.7234646606445,113.881612103175,0.717784300392406
4,0,2007,278,19.672737601144,235.904244042452,2.16282364221897
4,0,2008,259,7.61043775285995,90.0433796296296,0.722074574044868
4,0,2009,294,24.2800452096122,263.762798717236,0.187622692126123
4,0,2010,288,8.6485723440988,77.0760945767196,0.659503942316468
4,0,2011,276,23.048058820452,246.78507345573,1.34183460211909
4,0,2012,289,6.66322378976007,82.8383912037037,0.175090337654201
4,0,2013,187,16.6077695138114,199.805814783813,0.831000101467407
4,0,2014,238,12.9942905970982,139.909720568783,5.04550281887652
4,0,2016,10,12.1569379970006,124.081164021164,0.243904634431983
4,0,2016,279,6.87437879289902,81.3663029100529,0.890545576918811
4,0,2017,288,16.5815425763812,161.103111772487,3.04296670899416
4,0,2018,309,12.9786342511858,91.6997585978837,2.4291412994418
4,0,2019,284,23.732785382952,322.258078703704,0.175208333534016
5,1,1999,309,20.0312292480469,237.821516203704,2.43304986069035
5,1,2000,289,16.5117936924526,227.164439776587,1.25039995298394
5,1,2001,299,15.8229446411133,193.935482545479,5.64836782857144
5,1,2002,288,19.2118947928293,263.170964290881,2.66709799809577
5,1,2004,15,25.305286429269,341.832503306878,1.96255731788739
5,1,2004,279,16.8842836652483,253.77517568114,0.364630791312043
5,1,2005,299,20.196022644043,295.022509794689,0.581143659721193
5,1,2006,319,17.9334017508371,270.185076058201,2.00109758087017
5,1,2007,299,14.846230948312,215.040222290672,4.23122279048258
5,1,2008,300,18.3839943586077,233.210282329781,1.15228746561311
5,1,2009,349,19.9186902291434,276.388498677249,2.24700954595819
5,1,2010,288,13.6100003051758,240.194079715789,2.64426719527892
5,1,2011,288,17.8622950526646,218.642193500176,1.23041750234408
5,1,2012,289,14.7006685093471,208.569002105471,2.51999074892563
5,1,2013,309,20.8130557686942,288.287334656085,1.44636125324431
5,1,2014,278,17.0186416190011,230.644356243799,1.48235973059
5,1,2015,309,15.2437644304548,198.987829034392,3.39798799548927
5,1,2016,279,17.5058786010742,242.46683598594,0.0619516928595974
5,1,2017,268,13.1278560529437,207.478022486772,1.05637178990005
5,1,2018,278,18.1985753522601,209.377602203208,1.66848209647212
5,1,2019,315,21.0636686924526,291.60429728836,0.733580927028576
5,0,1999,309,14.5654731532506,128.963490410053,0.304439482873145
5,0,2000,289,11.0825788225447,112.717195767196,1.72819931760141
5,0,2001,299,9.43931958879746,118.330236441799,0.320637994206876
5,0,2002,288,13.5841957746234,172.464963624339,1.04390168349995
5,0,2004,15,16.0727008056641,173.437232142857,2.33310792438577
5,0,2004,279,8.85527121407647,74.9229166666666,2.13028321241435
5,0,2005,299,13.5789572143555,134.941623677249,0.711682650874078
5,0,2006,319,11.6424628993443,120.536668320106,0.490336203939053
5,0,2007,299,11.0320473807199,142.047083333334,0.491622823500489
5,0,2008,300,14.9324547467913,161.345985449735,0.781556529444187
5,0,2009,349,14.0488356672015,122.734189814815,0.532291916739102
5,0,2010,288,11.1725503976005,125.353148148148,0.823133984977435
5,0,2011,288,12.6625929478237,153.88667989418,0.323053675144099
5,0,2012,289,13.1469871738979,117.817781084656,0.14254150765769
5,0,2013,309,19.0113920811245,190.504918981482,1.39888043795197
5,0,2014,278,15.5107205636161,129.987958002646,0.821145131107395
5,0,2015,309,16.3769380405971,128.280158730159,0.153870405956915
5,0,2016,279,11.0578896658761,137.255166997354,1.35497785417734
5,0,2017,268,9.17110604422435,110.64921957672,0.578779287148396
5,0,2018,278,15.3001018851144,85.8108713624339,2.15777828491716
5,0,2019,315,9.7722967529297,91.9541964285714,0.299390048527828
6,1,1999,319,13.3925093296596,245.018209325397,1.67629504448302
6,1,2000,269,4.24541765485493,138.326541005291,1.68152765073765
6,1,2001,268,8.79070316859656,213.583720238095,0.688979171778489
6,1,2002,217,6.49599814278741,86.4124636243387,0.221865896711228
6,1,2003,284,13.5246296037947,244.450392158952,0.294414740159545
6,1,2004,218,4.75050672258652,80.6641617063492,1.74106680163282
6,1,2005,248,6.93729274204801,135.166025132275,0.939813355846717
6,1,2006,186,6.98776912144255,60.8979431216931,1.31229698528923
6,1,2007,268,8.12847856794088,113.458166335979,1.37210230947153
6,1,2008,239,5.54511112758094,137.74236276455,0.682764573640087
6,1,2009,243,6.88056126185829,107.762491732804,0.727248785338395
6,1,2010,258,8.79677734375002,179.145120701058,0.107129630966021
6,1,2011,263,10.1341927664621,203.43330026455,0.537432537641633
6,1,2012,300,14.5215631539481,249.974877033133,0.526071341132322
6,1,2013,242,5.53162418910438,157.83273478836,0.200903876389269
6,1,2014,207,5.92689688546319,85.1351240079364,0.343454198633272
6,1,2015,288,9.42396619524277,211.089571255477,1.22298332566642
6,1,2016,197,4.41087506975449,87.088718584656,0.869423035869878
6,1,2017,299,14.3704975673131,278.285422910458,0.329229848945981
6,1,2018,248,7.7807056971959,155.781334325397,0.973594206167212
6,1,2019,289,11.8285527692523,247.427544258562,0.894103117677518
6,0,1999,319,12.8632356916155,121.06943287037,2.06404816610174
6,0,2000,269,19.7498109654018,285.456607142857,0.648504191704772
6,0,2001,268,21.5380420357841,335.265608465609,0.0518195790188162
6,0,2002,217,23.041157182966,338.602202380952,0.770149406934579
6,0,2003,284,22.7959950910296,340.568842592593,0.00545396157375871
6,0,2004,218,18.0052885219029,369.708773148148,0.090129617359254
