Area,Class,DEMmean,FDate,ID,IDate,Id,NDVImean,SLOPEmean,isInf,rain_1months_mm,rain_3months_mm,random,tempMean_1M,temp_fire_C,windSpeedMax,windSpeedMean,year,temp_fire_C_2InitDays,windSpeedMax_2InitDays,windSpeedMean_2InitDays
43,2,229.786041259766,1153612800000,0,1153440000000,7372322,5034.5,0.132228568196297,0,0.0873913923298062,0.179552785089193,5.84663082094927e-05,21.8253464168972,21.1571999020047,3.41495275808404,2.58917757961686,2006,21.0529031117757,3.41495275808404,3.1545413936806
43,2,37.4774894714355,1091491201024,1,1091404800000,4870678,6775.5,0.268095344305038,0,0.0752363604545927,0.247696904716094,0.000113928724155943,22.4889443182176,22.1283444722494,2.00641743103928,1.75693845130261,2004,22.3226260503133,2.00641743103928,1.84502845796382
43,2,957.521484375,1234828800000,2,1234569600000,10847914,3196,0.800189077854156,0,0.25875505823236,0.464661906163613,0.00015955476628271,2.63885238401349,1.4137261072795,1.98711380330599,1.42429921127914,2009,1.72273883819582,1.87110940604811,1.31118849937452
43,2,1052.05053710938,1384300800000,3,1384128000000,16597311,2050.5,0.146027386188507,0,0.0184323314245418,0.0277536958648952,0.00016122113027417,11.366215908912,9.23626013861769,2.29209401274611,1.19871141875327,2013,9.25910275777187,2.29209401274611,1.44912094431498
43,2,108.438705444336,964569595904,4,964483200000,187295,4230.5,0.250739872455597,0,0.0252020120653178,0.0891772081022637,0.000212955004010418,23.578938293457,31.2065766016643,2.59292260668329,1.99186641950395,2000,31.2065766016643,2.59292260668329,1.99186641950395
43,2,16.0916938781738,992476800000,5,992476800000,987093,4914.5,0.0773651450872421,0,0.0577636369471257,0.178797147532137,0.000215034240518608,16.5262610609814,20.2731204986572,2.94337077777187,2.94337077777187,2001,20.7220397949219,5.55800804915098,4.25068941346143
43,2,114.929138183594,1571011200000,6,1570838400000,23445638,2806,0.27371945977211,0,0.0491595802474407,0.0739467264237561,0.000320703559981372,19.5611487494575,16.4450143602159,3.22041765913582,2.75297599041598,2019,16.403505897522,3.22041765913582,3.03541386593651
43,2,108.438705444336,1249344000000,7,1249344000000,11406175,5753.5,0.250739872455597,0,0.0816756669501366,0.186426415871754,0.000322287700102564,23.1482703998524,27.3641874949138,1.93428565239025,1.93428565239025,2009,25.7542921066284,1.93428565239025,1.32728124776107
43,2,26.4011268615723,1159574400000,8,1159574400000,7712635,5291,0.0477909818291664,0,0.0244067172698266,0.0807474427268211,0.000367295387895594,18.7477298941665,17.9665765126546,3.85947464355012,3.85947464355012,2006,17.4714977900187,3.85947464355012,3.44931248503764
43,2,191.630676269531,999216000000,9,999043200000,1223150,3155,0.431296318769455,0,0.0339219544054714,0.113820973509362,0.000371341884716769,25.4621852013373,21.6046323140462,2.47433930558005,1.81502639890735,2001,22.0679787953695,1.82611248802945,1.48536994557099
43,2,95.6445541381836,1254441600000,10,1254355200000,11692285,4609.5,0.0948048904538155,0,0.0828423214150931,0.212506269215673,0.000404868748388743,20.3078950034248,18.9340628941854,1.36100596836644,1.30398686987728,2009,18.9340628941854,1.36100596836644,1.30398686987728
43,2,529.551635742188,1332115200000,11,1331942400000,14605345,1904.5,0.890448689460754,0,0.131258870685599,0.3087230320202,0.00044500533639158,-4.10990693980244,0.32645208570699,1.38105647957537,1.2811284795138,2012,-1.08116664886472,1.38105647957537,1.35404870024537
43,2,29.0244903564453,1183334400000,12,1183161600000,8610526,3665.5,0.123363927006721,0,0.0218366717520126,0.0596493593257961,0.00046905627803695,23.2700433095296,22.2605684492324,3.51777126442719,2.08789046102513,2007,21.8936302820842,1.61381487963459,1.3729500593241
43,2,62.9316940307617,1312848000000,13,1312675201024,13819978,6269.5,0.0144709460437298,0,0.0417630016538588,0.226250727202352,0.000491405140498835,24.8098840077719,25.1663162867228,2.18239436267258,1.98609176893031,2011,25.1663162867228,2.18239436267258,1.98609176893031
43,2,5.73349714279175,1192752000000,14,1192665600000,9183325,3874,0.0102448686957359,0,0.0729145283400072,0.137140913146208,0.000531415515196199,17.3225191752117,12.9902635574341,2.54323773880551,1.82177415116889,2007,12.9902635574341,2.54323773880551,1.82177415116889
43,2,733.905883789062,1348099200000,15,1347926400000,15215182,4277,0.236483931541443,0,0.018596649847602,0.0348319695188621,0.00053207216719342,24.1408027402816,24.1447783999973,1.42632431584595,0.748173488752452,2012,24.0304370880127,0.632146510308749,0.409098075205702
