site,igbp,ecoregion,YY,DoY,TA,SW,RF,mat,mar,BIO,randomNum
1,7,8,2019,308,15.4745819769966,300.023677983539,0.423395543211711,14.1413361678164,0.579942723223192,-0.251577,1894
1,7,8,2019,332,16.2831706407335,317.778353909465,0.392445180363306,14.1413361678164,0.579942723223192,0.2038288,3726
1,7,8,2019,356,20.4086962890625,339.77462962963,0.790894096069943,14.1413361678164,0.579942723223192,0.2250708,2395
1,7,8,2020,15,20.3910944281684,348.480396090535,0.616938050134617,14.1413361678164,0.579942723223192,0.2237472,2130
1,7,8,2020,39,18.5096912299262,256.680596707819,0.524873856270581,14.1413361678164,0.579942723223192,-0.05057841,356
1,7,8,2020,63,21.5158761935764,249.540666326201,0.358346500603989,14.1413361678164,0.579942723223192,0.6452489,1938
1,7,8,2020,87,18.0761379665799,185.290594135802,0.420135984395073,14.1413361678164,0.579942723223192,0.1132782,2506
1,7,8,2020,111,14.6219378662109,127.861165123457,0.0965906424484582,14.1413361678164,0.579942723223192,0.03401752,487
1,7,8,2020,135,11.0943744574653,80.3563528806584,0.5252207158577,14.1413361678164,0.579942723223192,0.3860917,365
1,7,8,2020,183,3.13511861165367,43.7251697530864,1.22129747011472,14.1413361678164,0.579942723223192,-0.3395393,5794
1,7,8,2020,231,6.93846991644967,135.712250514403,0.709940796036623,14.1413361678164,0.579942723223192,-0.2718188,2567
1,7,8,2020,255,10.5083373345269,171.70387345679,0.466112190476137,14.1413361678164,0.579942723223192,0.3599451,1426
1,7,8,2020,279,9.4092244466146,232.531629795969,0.367309169505206,14.1413361678164,0.579942723223192,-0.04789739,3960
1,7,8,2020,303,16.1994944254557,308.3,0.446077427277725,14.1413361678164,0.579942723223192,-0.3149695,4526
1,7,8,2020,327,19.4964725748698,342.464182098765,0.0988949740760352,14.1413361678164,0.579942723223192,0.1667764,5509
1,7,8,2020,351,16.823719007704,339.577314814815,0.436175960969114,14.1413361678164,0.579942723223192,-0.03544874,3559
1,7,8,2021,9,17.9463092719184,352.615920781893,0.399044585744272,14.1413361678164,0.579942723223192,0.06212987,6015
1,7,8,2021,33,19.7716375732422,307.065787037037,0.392301569104159,14.1413361678164,0.579942723223192,0.1279621,5528
1,7,8,2021,105,16.2971849907769,143.57483281893,1.00605945252361,14.1413361678164,0.579942723223192,0.5039,3265
1,7,8,2021,153,5.13884752061634,64.1700308641975,1.11888130676284,14.1413361678164,0.579942723223192,0.5361652,837
1,7,8,2021,201,7.5341202121311,83.8636085390946,0.122175215121282,14.1413361678164,0.579942723223192,0.008054932,1401
1,7,8,2021,225,9.22369900173612,126.447942386831,0.1078603288778,14.1413361678164,0.579942723223192,-0.03790092,2513
1,7,8,2021,249,9.88624881320533,135.542541152263,1.51858269172667,14.1413361678164,0.579942723223192,0.08246264,2993
1,7,8,2021,273,10.3668050130209,212.147111062886,0.298108694690857,14.1413361678164,0.579942723223192,-0.2726783,4403
1,7,8,2021,297,17.0372515869141,278.32746399177,0.179225957643911,14.1413361678164,0.579942723223192,-0.3223252,596
1,7,8,2021,321,15.5862390136719,277.14704218107,0.909825098042642,14.1413361678164,0.579942723223192,0.3545932,3655
2,10,8,2019,308,5.71207329644099,293.730321502058,0.82912479846724,6.232008910872,0.857111708884127,-0.5582854,5733
2,10,8,2019,332,8.6154623074002,306.633405349794,1.65560697283794,6.232008910872,0.857111708884127,0.8814774,3970
2,10,8,2019,356,10.3581494140625,338.999799382716,0.947870816935977,6.232008910872,0.857111708884127,0.6091696,889
2,10,8,2020,15,12.6331083170573,321.552880658436,0.647187407358129,6.232008910872,0.857111708884127,-0.01617702,5726
2,10,8,2020,39,12.8098561604818,268.725056584362,0.42654679105519,6.232008910872,0.857111708884127,0.1144731,615
2,10,8,2020,63,14.7976991102431,229.348737313855,0.394777210106266,6.232008910872,0.857111708884127,0.3336724,3416
2,10,8,2020,87,8.54763102213544,140.15791409465,0.996153080157214,6.232008910872,0.857111708884127,0.2198798,774
2,10,8,2020,111,6.64199863009985,96.6045447530865,1.09410899605092,6.232008910872,0.857111708884127,0.2127528,5212
2,10,8,2020,135,3.30400119357642,69.10641718107,1.381888472892,6.232008910872,0.857111708884127,-0.08370684,4802
2,10,8,2020,183,-5.66791090223522,43.5369187242798,1.91430708856533,6.232008910872,0.857111708884127,-0.445322,4994
2,10,8,2020,231,-2.06301445855032,108.532656893004,0.931995270530659,6.232008910872,0.857111708884127,0.862718,290
2,10,8,2020,255,1.43317240397138,162.872422839506,0.492871608094159,6.232008910872,0.857111708884127,0.7896426,1537
2,10,8,2020,279,2.10706298828127,223.592548005846,0.822894203959777,6.232008910872,0.857111708884127,-0.5004327,942
2,10,8,2020,303,9.36794928656686,295.967093621399,0.649221889947321,6.232008910872,0.857111708884127,-0.3039697,81
2,10,8,2020,327,11.267679172092,329.71087962963,0.599520083047351,6.232008910872,0.857111708884127,-0.1173266,1816
2,10,8,2020,351,9.59967386881513,325.640411522634,0.418227074041678,6.232008910872,0.857111708884127,-0.1092516,1013
2,10,8,2021,9,10.5031842719184,315.420025720165,0.836069785662459,6.232008910872,0.857111708884127,0.07691175,2972
2,10,8,2021,33,15.2504222954644,285.081316872428,0.420672503478352,6.232008910872,0.857111708884127,0.1618525,3503
2,10,8,2021,105,8.09962422688804,114.76954218107,0.90168733682743,6.232008910872,0.857111708884127,0.5039,4975
2,10,8,2021,153,-3.31139553493921,44.6905092592593,1.09560919913363,6.232008910872,0.857111708884127,0.1814948,427
