GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,Ndepo,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,LAI,longitude,latitude,indRows,indCols,Region,randomNum
3624,7427,72,96,2057,6149,2157,29242,2995,496,14428,33,3150,4470,5138,10682,402,22923318,51,-78.5418877096801,-4.75164445218705,45,182,1,0.390430829462498
3545,7347,70,94,1726,5994,3444,29394,1770,515,14480,50,3112,4758,5272,10203,264,23722236,52,-78.5418877096801,-5.310661446562,46,182,1,0.738376511506287
3242,7011,64,88,2013,4897,1562,29480,1470,450,15086,67,2988,5488,5511,8288,264,25333763,49,-78.5418877096801,-5.86967844093695,47,182,1,0.976438557351852
3785,7259,78,96,277,6743,755,29856,2073,460,13674,44,3875,3924,5426,11224,402,24353784,48,-77.9828707153052,9.22378040718663,20,183,1,0.52329905821511
4024,7638,86,99,195,6780,1089,29853,2665,501,14284,40,3609,3729,5402,11679,402,43802413,50,-77.9828707153052,8.66476341281169,21,183,1,0.429915301709775
3973,7592,80,97,43,6608,1837,29849,2943,579,13360,40,3544,3971,5272,11656,402,25149704,48,-77.9828707153052,8.10574641843674,22,183,1,0.207158082586558
3808,7535,76,95,0,6559,1831,29710,4742,536,13186,32,3311,4615,5338,10837,261,12758701,51,-77.9828707153052,7.54672942406179,23,183,1,0.323401379477045
3702,7218,66,86,12,6031,1909,29759,12443,532,9479,30,3398,4019,4977,9698,389,17574932,50,-77.9828707153052,2.51557647468726,32,183,1,0.11087021836011
3561,6946,61,82,25,5074,2098,29607,6527,560,11814,26,3399,4192,5049,9748,261,37229255,49,-77.9828707153052,1.95655948031232,33,183,1,0.375210054242112
3433,6868,58,81,30,4476,3590,29287,7206,509,12035,18,3287,5051,5277,9272,261,38348206,47,-77.9828707153052,1.39754248593737,34,183,1,0.329903979134036
3389,6945,70,90,500,3959,3275,28381,2595,532,14597,19,3271,5031,5268,8902,261,38141805,50,-77.9828707153052,0.838525491562421,35,183,1,0.342105172194619
