GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.88,8.28,5.72602739726027,7.83561643835616,0.2999,0.6492,0.3,0.312,0.29,531,3537,3102,28626,3943,520,13068,18,2829,4855,5444,8777,264,33582052,50,28688,-78.5418877096801,-0.279508497187474,37,182,1,0.504257747592193
6.79,6.42,5.61643835616438,7.28767123287671,0.259,0.5851,0.295,0.288,0.259,1541,3495,3299,28259,2080,505,15735,20,2233,5033,5533,7400,264,31324927,45,26466,-78.5418877096801,-0.838525491562421,38,182,1,0.368516059530713
5.9,5.75,5.26027397260274,7.06849315068493,0.251,0.5529,0.21,0.22,0.195,2035,3965,2697,28203,2111,456,16709,18,2444,5622,5577,7527,261,14158338,41,16205,-78.5418877096801,-1.39754248593737,39,182,1,0.685249429019409
5.99,5.59,5.91780821917808,7.75342465753425,0.2556,0.5655,0.19,0.236,0.186,2149,4546,2697,28146,3012,525,15925,17,2474,5329,5688,7470,261,13447596,44,20740,-78.5418877096801,-1.95655948031232,40,182,1,0.0992075151757565
6.67,6.91,6.57534246575342,7.94520547945205,0.2902,0.6364,0.255,0.276,0.241,2462,4903,2068,28346,2422,529,14923,17,2689,5335,5524,8078,261,24411092,47,23391,-78.5418877096801,-2.51557647468726,41,182,1,0.0476468369667534
7.18,7.48,6.9041095890411,7.47945205479452,0.3124,0.6632,0.285,0.304,0.265,3246,5357,2093,28487,2222,495,14246,19,2980,5009,5498,9083,264,23335225,46,24567,-78.5418877096801,-3.07459346906221,42,182,1,0.86933591497735
7.67,7.94,7.20547945205479,7.58904109589041,0.3357,0.7037,0.31,0.332,0.292,2622,5489,2322,29131,2820,499,13693,26,3216,4723,5368,9830,264,23055337,50,25572,-78.5418877096801,-3.63361046343716,43,182,1,0.651867365863888
8.07,8.33,7.94520547945205,8.05479452054795,0.3626,0.7428,0.355,0.38,0.332,2254,5827,1794,29158,3780,484,14075,25,3150,4366,5215,10588,264,22498991,53,27004,-78.5418877096801,-4.19262745781211,44,182,1,0.610458701205885
8.2,8.47,7.97260273972603,8.13698630136986,0.3624,0.7427,0.36,0.384,0.336,2057,6149,2157,29242,2995,496,14428,33,3150,4470,5138,10682,402,22923318,51,27413,-78.5418877096801,-4.75164445218705,45,182,1,0.421945705248746
8.05,8.1,7.91780821917808,8.21917808219178,0.3545,0.7347,0.35,0.376,0.323,1726,5994,3444,29394,1770,515,14480,50,3112,4758,5272,10203,264,23722236,52,26272,-78.5418877096801,-5.310661446562,46,182,1,0.503707374957771
