DoY,Temperature,Radiation
1,-1.93055175781248,7.72458333333333
2,-0.350714721679665,1.91148148148148
3,-2.2272570800781,7.72935185185185
4,-5.29383056640623,7.02199074074074
5,-3.45984558105466,2.28365740740741
6,-2.50171447753904,4.0012962962963
7,0.261678466796898,2.55819444444444
8,0.436685791015648,8.31356481481481
9,-0.507174682617165,3.05125
10,-1.77906921386716,6.29486111111111
11,1.47391296386721,10.5525
12,0.0884448242187727,2.65916666666667
13,1.53872680664065,2.68143518518518
14,-3.04337402343748,6.99837962962963
15,-8.05265930175779,14.089537037037
16,-1.20438781738279,5.1274537037037
17,1.29115478515627,6.24337962962963
18,0.809192504882835,3.11884259259259
19,-0.604923706054665,4.32564814814815
20,-2.02980224609373,6.9487037037037
21,-2.34416931152341,8.37435185185185
22,-2.62046081542966,7.98541666666667
23,-4.89499938964842,7.94421296296296
24,-7.27797546386716,12.6920833333333
25,-7.11937438964841,13.2049537037037
26,-6.2304992675781,10.7674537037037
27,-6.61966369628904,10.6799074074074
28,-14.0063049316406,17.1932407407407
29,-11.8277618408203,14.3009259259259
30,-5.22298645019529,8.93685185185185
31,-2.39347900390623,28.6700925925926
32,-4.0873986816406,14.5178703703704
33,-7.33099060058592,12.6516203703704
34,-6.20965148925779,18.6414814814815
35,-1.20744384765623,12.5689351851852
36,1.28104919433596,8.43078703703704
37,-0.69929016113279,25.6057175925926
38,-1.61286621093748,15.6029166666667
39,-3.0981896972656,36.1193518518519
40,-3.71848388671873,25.3816666666667
41,-2.53469299316404,20.8668981481481
42,-1.28534667968748,27.7242592592593
43,-3.98899108886716,46.09625
44,-3.8399475097656,19.0985648148148
45,-7.42269958496091,29.5802314814815
46,-9.67853332519529,35.7348148148148
47,-11.4640771484375,30.7865277777778
48,-9.69804382324216,25.4262962962963
49,-6.02282592773435,22.2172222222222
50,-2.96705078124998,26.4608101851852
51,-5.43032470703123,30.7025925925926
52,-8.42298706054685,35.5180787037037
53,-13.6178155517578,43.1786111111111
54,-15.2069604492187,66.2116666666667
55,-14.829019165039,63.6136574074074
56,-8.10995361328123,49.8505555555556
57,-11.6233197021484,48.8699537037037
58,-12.7737738037109,75.7928472222222
59,-14.5930938720703,62.6966666666667
60,-16.8300866699219,87.8166435185185
61,-15.0939428710937,86.5701388888889
62,-11.4683135986328,92.2019733796296
63,-10.3193615722656,92.94910893193
64,-10.0232342529297,72.4096243851273
65,-11.297822265625,95.4083890335648
66,-9.04172546386716,43.1228638599537
67,-6.15210876464841,89.74185546875
68,-11.9233673095703,111.004300491898
69,-12.592392578125,110.35119140625
70,-12.0012268066406,115.521924189815
71,-10.3520825195312,96.0418229166667
72,-12.4148260498047,89.0890386284722
73,-13.027476196289,115.710236545139
74,-11.9902972412109,116.509005353009
75,-11.0963201904297,123.03359302662
76,-8.31623718261717,56.0246527777778
77,-8.18424743652341,103.184742476852
78,-7.87078063964842,129.101634837963
79,-7.46350830078123,115.852535852503
80,-6.33927978515623,119.991550925926
81,-5.17403564453123,120.793194444444
82,-2.02236633300779,102.763356481481
83,1.61167236328127,135.762800925926
84,2.01241455078127,122.965532407407
85,-0.10514221191404,101.515601851852
86,-1.11372497558591,123.26587962963
87,-1.7033752441406,114.664930555556
88,-1.75953063964841,115.383009259259
89,-1.88315002441404,150.349490740741
90,0.292835693359398,172.481296296296
91,0.45824401855471,175.251296296296
92,1.93440246582034,129.360671296296
93,3.26548278808596,168.574976851852
94,4.33618591308596,165.757291666667
95,5.1826403808594,169.773263888889
96,2.75686462402346,176.571921296296
97,3.25557922363284,94.135
98,3.52722778320315,94.1773148148148
99,2.5355407714844,89.7226157407407
100,1.69707458496096,137.011782407407
101,2.06554138183596,65.62875
102,3.88928344726565,110.831736111111
103,5.41844543457034,153.058680555556
104,5.6077819824219,200.114699074074
105,3.82451416015627,59.5426851851852
106,5.10769226074221,203.987685185185
107,3.91994567871096,190.80974537037
108,2.44528259277346,208.925601851852
109,0.11610534667971,212.457916666667
110,-0.426580810546852,153.225856481481
111,-0.438988037109352,181.2975
112,1.2042126464844,143.030208333333
113,1.61452392578127,167.951018518519
114,3.1345104980469,210.221180555556
115,5.21899475097659,230.121875
116,6.18614196777346,203.919606481481
117,6.59285339355471,231.206574074074
118,6.46780273437502,173.43125
119,5.97882568359377,205.873263888889
120,4.28842224121096,209.965925925926
121,2.32097900390627,107.298842592593
122,5.00791076660159,221.875694444444
123,5.5874353027344,133.595347222222
124,6.38881408691408,112.400277777778
125,5.85954101562502,77.0200694444444
126,7.22328674316408,140.874930555556
127,6.80415283203127,135.189675925926
128,7.28893310546877,210.083888888889
129,7.29257934570315,179.66787037037
130,7.55179809570315,242.42
131,7.00257751464846,149.114537037037
132,8.83966369628908,221.069212962963
133,9.53329406738284,288.498240740741
134,8.36263854980471,243.287986111111
135,6.34714538574221,121.239166666667
136,7.5148327636719,87.9558796296296
137,7.30985351562502,170.936759259259
138,7.52405395507815,183.222361111111
139,6.74389892578127,249.717916666667
140,9.20479187011721,281.648564814815
141,11.7060205078125,307.944259259259
142,14.0279187011719,230.557037037037
143,14.1836364746094,141.120416666667
144,16.7187744140625,229.134259259259
145,12.9632452392578,291.742916666667
146,12.3295434570313,198.726157407407
147,12.7849975585938,259.753194444444
148,9.03174499511721,302.742824074074
149,8.15922607421877,133.369768518519
150,9.9134509277344,160.573333333333
151,9.1262194824219,211.847407407407
152,9.70070068359377,226.038194444444
153,10.4114685058594,272.219212962963
154,11.3574993896485,270.652268518518
155,10.0673608398438,84.2635185185185
156,11.7904095458985,143.929166666667
157,10.3885260009766,113.691666666667
