BA,DEMmean,NDVImean,SLOPEmean,rain_1months_mm,rain_3months_mm,tempMean_1M,temp_fire_C,windSpeedMax,windSpeedMean,temp_fire_C_2InitDays,windSpeedMax_2InitDays,windSpeedMean_2InitDays,duration,durationLog,random,Y
537,317.128601074219,7500.5,0.603799283504486,0.00915740269484289,0.104285245153395,18.8330750496157,20.6933162982648,2.72203233505065,1.18838424921327,22.107135603163,2.66221503895498,1.68189665343405,10,2.39789527279837,0.275867550041172,3.88810282171049
987,658.59423828125,4614.5,0.795464634895325,0.00694945417573223,0.070225220224561,24.3100754399453,24.0076288011339,2.03772938263173,1.3933758908069,23.1870626237658,2.03772938263173,1.09817456718549,6,1.94591014905531,0.347707455371471,4.94875989037817
730,470.597290039062,3627,0.967880129814148,0.0477146360702854,0.167030169317705,18.2822808583577,21.9088213024717,4.40203666516909,2.9801891770939,19.8663120693631,3.24993754729635,2.22349374732496,8,2.19722457733622,0.16895298923574,4.39581995680622
687,1292.4794921875,2384,0.299809843301773,0.0205989883245152,0.211961156492535,20.7587595409818,24.1363126482283,2.52723054917674,1.50227703006986,25.8765295240615,2.52723054917674,1.37029591149613,4,1.6094379124341,0.889448335659747,4.92289637978825
515,324.888610839844,7321,0.890876293182373,0.0135908979974246,0.106154458881917,17.4545796384094,19.1961178673639,3.11540063521008,1.68867151016231,18.9666381835938,3.11540063521008,1.84384874161074,3.99994074074074,1.60942606051201,0.418486874303082,4.63474084015172
859,324.29150390625,3548.5,0.335666626691818,0.00892394126239537,0.0110968999763763,23.4824135038588,16.9836248571223,4.55791888480433,1.85907874104409,18.0287507798936,3.24521531357167,1.74656859209439,18.0000237037037,2.94444022672902,0.601385080272189,3.81132869525524
515,1011.58740234375,5951.5,2.9084198474884,0.0515191160045276,0.0637151564942826,18.0198312861946,18.7730417771773,2.77684615121074,1.3291378850347,17.5946333567302,1.79139432802338,1.24076933246241,8,2.19722457733622,0.879262969140546,4.04694232332752
537,244.566467285156,5987,0.246915206313133,0.000473048222623618,0.0861265264978428,23.9458012816727,25.8690788450696,3.79544221176957,2.28853163449967,23.6627392662896,3.79544221176957,2.90228924113939,4,1.6094379124341,0.438937584047352,4.67656018207476
580,487.748840332031,4118,0.262837827205658,0.0103792598894543,0.0646954401264885,25.9728079436928,25.9203394571941,2.51929408612909,1.85184251522416,26.113569937812,2.37774709853009,1.73544401798876,2,1.09861228866811,0.339489375475647,5.26441581487235
730,777.654296875,5127.5,1.47616183757782,0.000534404752592366,0.141866828828899,9.3346677012828,10.1179793746383,3.45326643729255,2.36020401436322,9.73374265034994,2.7643868994282,1.7896019262095,6,1.94591014905531,0.0779753486129022,4.64713438508712
902,1032.67626953125,5812,0.830436110496521,0.0112144728368513,0.294932235401067,4.98434583875877,0.784934545446333,2.21720621017339,1.40190310962834,0.912112384372278,1.95283537401644,1.57970227613915,14.0000474074074,2.70805336159104,0.897643276476527,4.09656115847158
580,123.55451965332,4488,0.497645556926727,0.00308629896532864,0.0144219936632126,29.6612133395287,24.5267694033109,3.54783869142652,1.80966232039735,27.1655401017931,2.51059077753017,1.73984813436449,10,2.39789527279837,0.739708012968955,3.96513283074209
859,275.963104248047,3184.5,0.178116753697395,0.000278783723196341,0.0634330424914076,24.6959607866076,27.0073741700915,3.80234402315793,2.8683892522565,29.7687882741292,3.73506237216071,3.34184097842915,3,1.38629436111989,0.281610503874892,5.36947456086437
687,897.281005859375,4609.5,0.616026997566223,0.00197910905237819,0.098126308916143,24.3930761549208,27.314619029652,1.7779206475952,0.826063370995363,24.8063816918267,1.7779206475952,1.25013286303441,8,2.19722457733622,0.00835543024537899,4.33510971488613
515,870.673767089844,3297,0.35471248626709,0.0440432771068089,0.310976848031778,8.27892162774197,7.06123600006106,4.02816677413798,2.74517642062994,7.4699065314399,4.02816677413798,3.59510886783064,10.9999644444444,2.48490368682065,0.741400001614707,3.75926321384309
859,499.831970214844,4265.5,0.450528562068939,0.0167557653586705,0.0681099264194849,22.5558713701037,22.6356708708264,2.86067101832585,2.13335383832902,20.9274472554525,2.86067101832585,2.45498510607727,4.99998814814815,1.79175749391746,0.297308268120782,4.96401142806679
687,45.005241394043,4822,0.205214336514473,8.34325359342358e-05,0.0509467963846895,25.5790807744509,25.0793878396352,4.13960557266868,2.93852004651508,29.4731784820557,4.13960557266868,2.83900647423314,5,1.79175946922805,0.618135211051946,4.74057482299429
773,692.60400390625,6969.5,0.367025107145309,0.0163140519313423,0.102791028553714,20.2076469626477,18.9413854810926,5.00193437832964,3.61534933369865,21.3749356163872,4.752578076505,4.0510430145984,12,2.56494935746154,0.756183954380051,4.08532969112589
