ID,Species,URL
10,Oilpalm,"https://www.google.com/maps/@4.6855266,7.4116417,3a,90y,191.87h,106.56t/data=!3m7!1e1!3m5!1sDBuuNE6l5EdbIl72PW5TzQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-16.564406066879613%26panoid%3DDBuuNE6l5EdbIl72PW5TzQ%26yaw%3D191.87479131831077!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
11,Oilpalm,"https://www.google.com/maps/@4.6812511,7.3830473,3a,48.9y,118.25h,95.31t/data=!3m7!1e1!3m5!1sMgY8oI45Vwyv2ttu_gAvMQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-5.3064355562424765%26panoid%3DMgY8oI45Vwyv2ttu_gAvMQ%26yaw%3D118.24837408884086!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
12,Oilpalm,"https://www.google.com/maps/@4.7554569,6.3876553,3a,75y,16.84h,97.01t/data=!3m7!1e1!3m5!1saL2td3sVcEIGkSkks-jc4g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.010475533512647%26panoid%3DaL2td3sVcEIGkSkks-jc4g%26yaw%3D16.836973688977274!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
13,Oilpalm,"https://www.google.com/maps/@4.7492129,6.3931404,3a,48.9y,192.96h,99.92t/data=!3m7!1e1!3m5!1sLr2g1Ed7ZLm2XL3qALDLUQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-9.918106144670432%26panoid%3DLr2g1Ed7ZLm2XL3qALDLUQ%26yaw%3D192.959173392621!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
14,Oilpalm,"https://www.google.com/maps/@6.1074954,5.6600721,3a,31.3y,265.23h,96.08t/data=!3m7!1e1!3m5!1s2vcQKoyUdIvhOAkIRZYSJw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-6.075160101999543%26panoid%3D2vcQKoyUdIvhOAkIRZYSJw%26yaw%3D265.23427305228756!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
15,Oilpalm,"https://www.google.com/maps/@7.1715134,4.9823266,3a,48.9y,323.83h,98.68t/data=!3m7!1e1!3m5!1suY1tr46IrBv-OXkUg1-wag!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-8.682695029701563%26panoid%3DuY1tr46IrBv-OXkUg1-wag%26yaw%3D323.83416907718345!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
16,Oilpalm,"https://www.google.com/maps/@7.7983235,4.730779,3a,63.6y,240.08h,107.18t/data=!3m7!1e1!3m5!1sWTuN2wmM0wuHfXGbGeXLyA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-17.17546474808408%26panoid%3DWTuN2wmM0wuHfXGbGeXLyA%26yaw%3D240.07682881083625!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
17,Oilpalm,"https://www.google.com/maps/@7.7559435,4.7842286,3a,75y,258.3h,107.85t/data=!3m7!1e1!3m5!1sr71u2pF6SCus4dO2TUvb6A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-17.85166125583872%26panoid%3Dr71u2pF6SCus4dO2TUvb6A%26yaw%3D258.30322087784634!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
18,Oilpalm,"https://www.google.com/maps/@7.7606828,4.799449,3a,90y,262.19h,103.55t/data=!3m7!1e1!3m5!1syxbAbm8j1ufvMzvJgwXB7w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-13.546400150369834%26panoid%3DyxbAbm8j1ufvMzvJgwXB7w%26yaw%3D262.1867568919038!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
19,Oilpalm,"https://www.google.com/maps/@7.9581152,4.893905,3a,90y,45.91h,113.25t/data=!3m7!1e1!3m5!1sU4ukmfN4rUqTvbaTAnPR7A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-23.24969436609922%26panoid%3DU4ukmfN4rUqTvbaTAnPR7A%26yaw%3D45.91259222568238!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
