Area,DEMmean,NDVImean,SLOPEmean,rain_1months_mm,rain_3months_mm,tempMean_1M,temp_fire_C,windSpeedMax,windSpeedMean,temp_fire_C_2InitDays,windSpeedMax_2InitDays,windSpeedMean_2InitDays,duration,durationLog,random,Y
43,229.786041259766,5034.5,0.132228568196297,0.0873913923298062,0.179552785089193,21.8253464168972,21.1571999020047,3.41495275808404,2.58917757961686,21.0529031117757,3.41495275808404,3.1545413936806,3,1.38629436111989,5.84663082094927e-05,2.37490575457367
43,37.4774894714355,6775.5,0.268095344305038,0.0752363604545927,0.247696904716094,22.4889443182176,22.1283444722494,2.00641743103928,1.75693845130261,22.3226260503133,2.00641743103928,1.84502845796382,2.00001185185185,1.09861623927759,0.000113928724155943,2.66258387641597
43,957.521484375,3196,0.800189077854156,0.25875505823236,0.464661906163613,2.63885238401349,1.4137261072795,1.98711380330599,1.42429921127914,1.72273883819582,1.87110940604811,1.31118849937452,4,1.6094379124341,0.00015955476628271,2.15176220325946
43,1052.05053710938,2050.5,0.146027386188507,0.0184323314245418,0.0277536958648952,11.366215908912,9.23626013861769,2.29209401274611,1.19871141875327,9.25910275777187,2.29209401274611,1.44912094431498,3,1.38629436111989,0.00016122113027417,2.37490575457367
43,108.438705444336,4230.5,0.250739872455597,0.0252020120653178,0.0891772081022637,23.578938293457,31.2065766016643,2.59292260668329,1.99186641950395,31.2065766016643,2.59292260668329,1.99186641950395,1.99995259259259,1.09859648607411,0.000212955004010418,2.66260362961945
43,16.0916938781738,4914.5,0.0773651450872421,0.0577636369471257,0.178797147532137,16.5262610609814,20.2731204986572,2.94337077777187,2.94337077777187,20.7220397949219,5.55800804915098,4.25068941346143,1,0.693147180559945,0.000215034240518608,3.06805293513362
43,114.929138183594,2806,0.27371945977211,0.0491595802474407,0.0739467264237561,19.5611487494575,16.4450143602159,3.22041765913582,2.75297599041598,16.403505897522,3.22041765913582,3.03541386593651,3,1.38629436111989,0.000320703559981372,2.37490575457367
43,108.438705444336,5753.5,0.250739872455597,0.0816756669501366,0.186426415871754,23.1482703998524,27.3641874949138,1.93428565239025,1.93428565239025,25.7542921066284,1.93428565239025,1.32728124776107,1,0.693147180559945,0.000322287700102564,3.06805293513362
43,26.4011268615723,5291,0.0477909818291664,0.0244067172698266,0.0807474427268211,18.7477298941665,17.9665765126546,3.85947464355012,3.85947464355012,17.4714977900187,3.85947464355012,3.44931248503764,1,0.693147180559945,0.000367295387895594,3.06805293513362
43,191.630676269531,3155,0.431296318769455,0.0339219544054714,0.113820973509362,25.4621852013373,21.6046323140462,2.47433930558005,1.81502639890735,22.0679787953695,1.82611248802945,1.48536994557099,3,1.38629436111989,0.000371341884716769,2.37490575457367
43,95.6445541381836,4609.5,0.0948048904538155,0.0828423214150931,0.212506269215673,20.3078950034248,18.9340628941854,1.36100596836644,1.30398686987728,18.9340628941854,1.36100596836644,1.30398686987728,2,1.09861228866811,0.000404868748388743,2.66258782702545
43,529.551635742188,1904.5,0.890448689460754,0.131258870685599,0.3087230320202,-4.10990693980244,0.32645208570699,1.38105647957537,1.2811284795138,-1.08116664886472,1.38105647957537,1.35404870024537,3,1.38629436111989,0.00044500533639158,2.37490575457367
43,29.0244903564453,3665.5,0.123363927006721,0.0218366717520126,0.0596493593257961,23.2700433095296,22.2605684492324,3.51777126442719,2.08789046102513,21.8936302820842,1.61381487963459,1.3729500593241,3,1.38629436111989,0.00046905627803695,2.37490575457367
43,62.9316940307617,6269.5,0.0144709460437298,0.0417630016538588,0.226250727202352,24.8098840077719,25.1663162867228,2.18239436267258,1.98609176893031,25.1663162867228,2.18239436267258,1.98609176893031,2.99998814814815,1.38629139815254,0.000491405140498835,2.37490871754102
43,5.73349714279175,3874,0.0102448686957359,0.0729145283400072,0.137140913146208,17.3225191752117,12.9902635574341,2.54323773880551,1.82177415116889,12.9902635574341,2.54323773880551,1.82177415116889,2,1.09861228866811,0.000531415515196199,2.66258782702545
43,733.905883789062,4277,0.236483931541443,0.018596649847602,0.0348319695188621,24.1408027402816,24.1447783999973,1.42632431584595,0.748173488752452,24.0304370880127,0.632146510308749,0.409098075205702,3,1.38629436111989,0.00053207216719342,2.37490575457367
43,244.717987060547,2337.5,0.620499610900879,0.0200156127992273,0.0738169293496149,24.5327873441908,19.7566206614177,1.56572227844547,1.56572227844547,20.3874224980673,1.56572227844547,1.07072046525522,1,0.693147180559945,0.000543704860507366,3.06805293513362
43,814.988525390625,2823,1.36560428142548,0.0140993163342777,0.0169690714040271,22.0484049903022,14.4212531407674,1.63172825199126,1.47085605143718,14.4212531407674,1.63172825199126,1.47085605143718,2,1.09861228866811,0.000589301644460027,2.66258782702545
43,128.442077636719,5996,0.215201526880264,0.0298987524553382,0.20388666275575,26.1416538894817,29.9176994323731,3.2445028317416,3.12477528510056,29.9176994323731,3.2445028317416,3.12477528510056,2,1.09861228866811,0.000734471002140968,2.66258782702545
43,147.573837280273,4534.5,0.236266165971756,0.0313096879213361,0.188369370855167,25.9846981294693,28.5862490759956,1.28067711442907,0.851345075694551,27.6027694702149,1.28067711442907,0.74101964200408,3,1.38629436111989,0.000747615501725196,2.37490575457367
43,129.461944580078,4339,0.284483164548874,0.110570670717262,0.184898588697941,14.4095242818197,9.92208485073519,2.82202557284114,2.3576528384535,10.1839484532675,2.40300237544226,2.12546647125968,3,1.38629436111989,0.000776976998358769,2.37490575457367
43,4.71755886077881,3152,0.0143068507313728,0.0184794985742514,0.0443319714032171,17.4641818152534,15.3627191543579,3.16065310317784,1.93800956026922,15.3627191543579,3.16065310317784,1.93800956026922,2,1.09861228866811,0.000787670750492242,2.66258782702545
43,14.3679695129395,4637.5,0,0.0467615112444797,0.138267186615408,25.6238101097845,28.4531668980917,5.65538026130861,5.05448332838707,28.4531668980917,5.65538026130861,5.05448332838707,2,1.09861228866811,0.000827969925147665,2.66258782702545
43,69.6930465698242,3312.5,0.034379567950964,0.0157629672287634,0.141204143747665,27.3144956076017,25.5488445917766,3.7618294161397,3.38166706918217,24.9037195205689,3.07303975219774,3.01414543883483,4,1.6094379124341,0.000909880121260365,2.15176220325946
43,1203.68188476562,4572.5,2.61701655387878,0.196447219226705,0.354897186010742,5.76491896106359,8.60511519114181,1.09593645191177,0.924159420818525,8.60511519114181,1.09593645191177,0.924159420818525,2,1.09861228866811,0.000949855859006976,2.66258782702545
43,9.6218090057373,2683.5,0.0271799936890602,0.0296195872063159,0.0856902635323173,21.3028106156215,21.1061155954997,6.66492608988734,4.43910717194913,21.1061155954997,6.66492608988734,4.43910717194913,2,1.09861228866811,0.000978721163877094,2.66258782702545
43,393.277252197266,7734.5,0.346690326929092,0.0798121446566995,0.248496620727479,18.4214266787293,17.2461919148764,0.99034141850082,0.684250631611671,17.2461919148764,0.99034141850082,0.684250631611671,2,1.09861228866811,0.00105353581452239,2.66258782702545
43,13.7235670089722,6415,0.0301338061690331,0.0400959849386915,0.104438503393279,25.5086882683539,22.1091758304172,6.77477929693186,6.56500383690496,22.0555279413859,6.77477929693186,6.71739299733281,2.00004740740741,1.09862809101239,0.0011274883423873,2.66257202468117
43,1373.14453125,2915,0.0614587552845478,0.0108987433702339,0.0338663703348345,16.4045712542791,11.4778018951416,2.1551774920278,1.81363196455435,11.4778018951416,2.1551774920278,1.81363196455435,2.99996444444444,1.3862854721915,0.00120977552862456,2.37491464350207
43,651.526794433594,3492,0.395666360855103,0.0185776073050192,0.156547444909009,2.97693782236388,10.3107630835639,1.12445637702209,0.762620872865027,9.95996659596761,1.12445637702209,0.748611528501738,3,1.38629436111989,0.00125853389965769,2.37490575457367
43,41.5578918457031,6698,0.324353784322739,0.249411050668034,0.534938849949128,17.7642410490248,21.2142930984497,1.30157268670681,1.10780884861535,21.2142930984497,1.30157268670681,1.10780884861535,2,1.09861228866811,0.00128907632625697,2.66258782702545
43,428.007843017578,6111,1.16050899028778,0.271192486651518,0.729434791930842,10.5611213232881,13.9570720672607,1.20552714527621,0.688105235211164,14.0904667536417,1.20552714527621,0.826724309266014,5,1.79175946922805,0.00136331918444976,1.96944064646551
43,603.678833007812,3118,0.563145577907562,0.00187120252384432,0.0219282168981429,25.6348403889645,31.3887846628825,2.99333306463134,2.39351221207593,31.3887846628825,2.99333306463134,2.39351221207593,2,1.09861228866811,0.00140135584025358,2.66258782702545
43,1.3746999502182,5114.5,0.00471260491758585,0.000178678018638578,0.00078741685487671,28.1730428593134,28.5500452677409,2.07190637258157,1.35297960162819,27.8225948969523,1.35342916760444,0.993516216151501,3,1.38629436111989,0.00145219755408732,2.37490575457367
43,106.05525970459,4813.5,0.336684018373489,0.018829802203296,0.0762709912496149,23.9067650128436,28.2195214589437,2.5651967357293,2.44296248670857,28.2195214589437,2.5651967357293,2.44296248670857,2,1.09861228866811,0.00149848407185393,2.66258782702545
43,96.9767837524414,6129,0.156693324446678,0.0692348742777931,0.208516269378514,22.0795830196806,20.6025854746501,4.19161361706069,2.23989493252099,19.5320294062296,4.19161361706069,2.34443963706781,5,1.79175946922805,0.00152335720075414,1.96944064646551
43,274.880767822266,6138,0.495006322860718,0.110609533411306,0.119661317292248,20.8268409729003,17.1558842553033,2.91959489644182,1.98045959004045,17.598922665914,2.91959489644182,1.91475563246563,3,1.38629436111989,0.00153856450857981,2.37490575457367
43,1274.63525390625,2113,0.549331486225128,0.00828148161026832,0.100073098919736,22.0000330819025,23.8224093543159,2.75845487312862,1.68760234788485,24.0056520462036,1.63981998047611,1.15217608526296,3,1.38629436111989,0.00155945831448401,2.37490575457367
43,86.5538177490234,5162,0.164607614278793,0.0572772744965491,0.156566347740103,22.6499603059556,28.7235224405925,2.11213419747758,1.80091837572976,28.7235224405925,2.11213419747758,1.80091837572976,2,1.09861228866811,0.00156508231902042,2.66258782702545
43,97.2825241088867,3681.5,0.208267092704773,0.0066542567895489,0.0506502397645754,22.4332762154201,19.5054085413615,4.46162257233664,3.53161263769921,19.5054085413615,4.46162257233664,3.53161263769921,2,1.09861228866811,0.00161090578982248,2.66258782702545
43,58.7887535095215,5471.5,0.0412004701793194,0.0922620834123009,0.164978217061972,22.7697822488764,24.6397424697876,2.87650498860956,1.9817672838196,22.7223220825196,2.87650498860956,1.78079494294237,4,1.6094379124341,0.00167479073300969,2.15176220325946
43,324.594879150391,4959.5,0.419244319200516,0.0301685609706652,0.16111518100378,24.8659097897109,22.8490663528443,0.339061501937927,0.321029076743338,22.8490663528443,0.339061501937927,0.321029076743338,2,1.09861228866811,0.00173887300450637,2.66258782702545
43,58.6538619995117,6682.5,0.24326753616333,0.0763237105815051,0.298959416015755,22.8940239034673,22.5923324584961,2.38643954961824,1.95687668773989,22.3327000300089,2.38643954961824,2.27362851682542,3,1.38629436111989,0.00175152112588295,2.37490575457367
