GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.86,7.9,6.05479452054795,9.20547945205479,0.4051,0.7749,0.285,0.368,0.338,0,6111,1407,29748,1602,486,14067,50,3327,4389,5337,9448,261,25238014,479,17600,-79.65992169843,0.838525491562421,35,180,1,0.537842841324121
6.25,7.45,5.47945205479452,8.9041095890411,0.3848,0.749,0.235,0.336,0.348,0,6350,3152,29720,1418,437,12803,50,3269,4684,5415,8538,261,32090448,444,16734,-79.65992169843,0.279508497187474,36,180,1,0.870912524621325
6.24,5.12,7.28767123287671,8.10958904109589,0.344,0.7258,0.275,0.356,0.307,52,6790,3297,29653,3234,381,10988,40,2950,5275,5600,9400,261,23484412,397,16025,-79.65992169843,-2.51557647468726,41,180,1,0.722843568666448
6.5,5.39,7.42465753424658,8.13698630136986,0.3477,0.7146,0.295,0.36,0.334,30,5054,2312,29504,5299,564,12788,27,2916,5100,5533,8833,261,25370218,402,16216,-79.65992169843,-3.07459346906221,42,180,1,0.668085931674845
6.42,5.91,7.31506849315068,7.17808219178082,0.3354,0.7105,0.27,0.344,0.317,13,4731,2469,29357,3098,458,15587,31,2875,5025,5550,9100,261,25371902,353,14650,-79.65992169843,-3.63361046343716,43,180,1,0.178827792303708
7.43,9.04,6.16438356164384,8.93150684931507,0.382,0.7338,0.32,0.36,0.348,159,5777,3261,29622,4310,496,10822,29,3283,4105,5172,10108,389,32686631,518,20461,-79.1009047040551,0.838525491562421,35,181,1,0.550495354874599
6.59,9.11,5.6986301369863,8.43835616438356,0.3609,0.7038,0.235,0.324,0.279,213,5301,3913,29495,3732,485,11178,29,3100,4887,5360,9489,261,32829522,481,18709,-79.1009047040551,0.279508497187474,36,181,1,0.959875078687972
6.82,8.24,5.94520547945205,8.24657534246575,0.3403,0.6944,0.28,0.32,0.303,184,4882,3464,29398,3352,482,11580,25,3036,4768,5364,9344,261,32899721,504,19716,-79.1009047040551,-0.279508497187474,37,181,1,0.596021671986299
6.06,7.08,5.86301369863014,7.42465753424658,0.3223,0.6524,0.21,0.288,0.238,115,4429,3702,28808,6730,503,12979,17,2700,4880,5410,8680,261,32324974,474,20090,-79.1009047040551,-0.838525491562421,38,181,1,0.808570708752387
6.22,5.76,6.13698630136986,8.05479452054795,0.3433,0.688,0.22,0.316,0.215,71,4097,4164,28570,6762,506,13854,15,2900,5200,5900,8900,264,30098176,399,14650,-79.1009047040551,-1.39754248593737,39,181,1,0.984532354863445
