GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
6.42,5.66,6.79452054794521,6.79452054794521,0.3442,0.6959,0.27,0.34,0.282,36,4105,4164,28912,13722,530,13800,18,2866,5066,5933,8733,264,28819796,354,10000,-79.1009047040551,-1.95655948031232,40,181,1,0.885924447669938
6.61,4.65,5.58904109589041,7.61643835616438,0.2593,0.6015,0.245,0.26,0.22,1782,3815,3159,28427,1705,454,13985,22,2500,5000,5500,8600,261,24880925,426,25900,-79.1009047040551,-3.07459346906221,42,181,1,0.213837003113112
6.92,6.16,6.27397260273973,8.08219178082192,0.2959,0.6525,0.265,0.284,0.252,1938,4354,2328,28770,1905,465,14664,23,2796,5117,5406,8965,261,24344031,470,24841,-79.1009047040551,-3.63361046343716,43,181,1,0.0346300613124667
7.2,6.78,7.04109589041096,8.13698630136986,0.3036,0.6736,0.28,0.308,0.269,1688,4816,2461,28788,2098,475,15001,25,2863,4694,5380,8989,158,23267403,485,26575,-79.1009047040551,-4.19262745781211,44,181,1,0.451123791403174
7.37,7.23,7.3972602739726,8.27397260273973,0.3092,0.6825,0.3,0.328,0.29,2187,4962,3218,29079,2197,552,15519,33,3029,4932,5388,8760,158,22595747,500,26308,-79.1009047040551,-4.75164445218705,45,181,1,0.0137945567780947
7.26,6.16,7.17808219178082,8.38356164383562,0.297,0.6598,0.295,0.32,0.299,2476,5075,1892,29064,2067,535,15728,34,2970,5350,5450,8410,264,22494870,492,24115,-79.1009047040551,-5.310661446562,46,181,1,0.473710749132909
7.41,5.45,7.06849315068493,7.67123287671233,0.2878,0.649,0.305,0.328,0.32,1827,5284,1968,28942,1322,403,16247,40,2900,5640,5500,8260,264,22308854,440,19180,-79.1009047040551,-5.86967844093695,47,181,1,0.951197090728795
7.82,7.33,7.17808219178082,6.87671232876712,0.3574,0.7059,0.36,0.38,0.338,226,6082,744,29836,2714,512,14325,39,3810,3857,5289,11523,402,26066034,484,25921,-78.5418877096801,9.22378040718663,20,182,1,0.248952278705433
7.63,7.38,7.53424657534247,6.82191780821918,0.3583,0.7344,0.375,0.4,0.331,70,6039,1094,29868,2722,456,11621,45,3200,4650,5250,11900,375,29399728,509,23850,-78.5418877096801,8.66476341281169,21,182,1,0.386422800554417
7.29,7.58,6.08219178082192,8.32876712328767,0.4158,0.7769,0.305,0.372,0.329,0,5729,1903,29843,4787,574,9014,40,3291,4020,4987,8820,389,8363479,451,19166,-78.5418877096801,2.51557647468726,32,182,1,0.431433376426054
7.57,7.52,6.52054794520548,8.6027397260274,0.4254,0.7842,0.34,0.388,0.372,0,5775,2075,29820,3854,528,11179,39,3352,4061,5033,8961,389,27530330,483,20994,-78.5418877096801,1.95655948031232,33,182,1,0.83088648474904
7.32,8.18,6.27397260273973,8.3013698630137,0.3895,0.7312,0.31,0.356,0.336,13,5341,3507,29765,4770,519,11740,33,3487,4545,5192,9885,261,30831099,492,18128,-78.5418877096801,1.39754248593737,34,182,1,0.824646819632836
6.79,8.44,5.86301369863014,8.24657534246575,0.3524,0.6992,0.265,0.324,0.268,82,4441,3110,29234,6335,505,11454,16,3236,4838,5345,9472,261,35493163,478,19607,-78.5418877096801,0.838525491562421,35,182,1,0.452998612301112
6.54,8.52,5.75342465753425,7.91780821917808,0.3295,0.6764,0.27,0.32,0.255,414,3821,2441,29007,4589,499,12722,18,2938,5083,5347,8711,264,33568596,481,23497,-78.5418877096801,0.279508497187474,36,182,1,0.380560169947678
6.79,8.26,5.58904109589041,7.83561643835616,0.2999,0.6492,0.285,0.308,0.292,531,3483,3117,28627,3974,519,13096,18,2829,4855,5444,8777,264,32604959,508,28688,-78.5418877096801,-0.279508497187474,37,182,1,0.925868542840634
6.73,6.31,5.56164383561644,7.45205479452055,0.259,0.5851,0.285,0.288,0.265,1541,3452,3399,28259,2008,501,15831,20,2233,5033,5533,7400,264,30474972,469,26466,-78.5418877096801,-0.838525491562421,38,182,1,0.740843627451167
5.87,5.62,5.20547945205479,7.20547945205479,0.251,0.5529,0.2,0.224,0.188,2035,3928,2772,28200,2038,453,16828,18,2444,5622,5577,7527,261,13799731,412,16205,-78.5418877096801,-1.39754248593737,39,182,1,0.737633073422826
5.95,5.49,5.91780821917808,7.89041095890411,0.2556,0.5655,0.19,0.236,0.186,2149,4541,2772,28146,2939,523,16038,17,2474,5329,5688,7470,261,13123278,449,20740,-78.5418877096801,-1.95655948031232,40,182,1,0.946915999012028
6.62,6.86,6.57534246575342,8.10958904109589,0.2902,0.6364,0.25,0.272,0.242,2462,4977,2079,28342,2351,529,14998,17,2689,5335,5524,8078,261,23892123,478,23391,-78.5418877096801,-2.51557647468726,41,182,1,0.510099705432381
7.1,7.45,6.87671232876712,7.64383561643836,0.3124,0.6632,0.275,0.3,0.261,3246,5468,2144,28482,2158,495,14243,18,2980,5009,5498,9083,264,22841279,470,24567,-78.5418877096801,-3.07459346906221,42,182,1,0.791879184896751
7.58,7.91,7.20547945205479,7.6986301369863,0.3357,0.7037,0.3,0.324,0.289,2622,5619,2409,29126,2745,499,13641,25,3216,4723,5368,9830,264,22557905,497,25572,-78.5418877096801,-3.63361046343716,43,182,1,0.452173502329059
7.98,8.3,7.97260273972603,8.13698630136986,0.3626,0.7428,0.34,0.376,0.331,2254,5971,1867,29151,3690,484,14042,24,3150,4366,5215,10588,264,21994592,528,27004,-78.5418877096801,-4.19262745781211,44,182,1,0.849198707548984
8.12,8.46,8.05479452054795,8.21917808219178,0.3624,0.7427,0.35,0.38,0.335,2057,6320,2234,29238,2843,494,14447,33,3150,4470,5138,10682,402,22396394,515,27413,-78.5418877096801,-4.75164445218705,45,182,1,0.390430829462498
7.96,8.08,7.97260273972603,8.3013698630137,0.3545,0.7347,0.34,0.372,0.32,1726,6171,3576,29392,1678,510,14502,50,3112,4758,5272,10203,264,23174821,526,26272,-78.5418877096801,-5.310661446562,46,182,1,0.738376511506287
7.29,5.87,7.23287671232877,7.58904109589041,0.3242,0.7011,0.3,0.344,0.314,2013,5022,1542,29475,1447,449,15082,66,2988,5488,5511,8288,264,24745058,493,25222,-78.5418877096801,-5.86967844093695,47,182,1,0.976438557351852
7.92,7.38,7.26027397260274,6.76712328767123,0.3785,0.7259,0.375,0.38,0.357,277,6676,744,29858,2026,457,13767,44,3875,3924,5426,11224,402,24050133,480,25260,-77.9828707153052,9.22378040718663,20,183,1,0.52329905821511
8.03,8.16,7.12328767123288,6.76712328767123,0.4024,0.7638,0.41,0.396,0.381,195,6719,1094,29855,2591,497,14394,41,3609,3729,5402,11679,402,43222238,511,23506,-77.9828707153052,8.66476341281169,21,183,1,0.429915301709775
8.02,7.65,7.04109589041096,6.27397260273973,0.3973,0.7592,0.39,0.388,0.368,43,6553,1869,29852,2812,574,13463,41,3544,3971,5272,11656,402,24820361,489,22902,-77.9828707153052,8.10574641843674,22,183,1,0.207158082586558
7.67,8.32,6.52054794520548,6.41095890410959,0.3808,0.7535,0.365,0.376,0.355,0,6518,1842,29714,4486,530,13302,33,3311,4615,5338,10837,261,12601637,519,26381,-77.9828707153052,7.54672942406179,23,183,1,0.323401379477045
7.44,8.01,5.78082191780822,8.05479452054795,0.3702,0.7218,0.32,0.34,0.331,12,5956,1903,29757,12874,532,9484,30,3398,4019,4977,9698,389,17293423,507,20259,-77.9828707153052,2.51557647468726,32,183,1,0.11087021836011
7.43,8.14,5.72602739726027,7.94520547945205,0.3561,0.6946,0.295,0.328,0.31,25,5003,2075,29604,6689,560,11810,26,3399,4192,5049,9748,261,36316531,485,21170,-77.9828707153052,1.95655948031232,33,183,1,0.375210054242112
6.97,8.33,5.83561643835616,7.91780821917808,0.3433,0.6868,0.285,0.324,0.27,30,4416,3507,29286,7249,508,12049,18,3287,5051,5277,9272,261,37242427,475,19399,-77.9828707153052,1.39754248593737,34,183,1,0.329903979134036
7.22,8.33,6.19178082191781,8.08219178082192,0.3389,0.6945,0.34,0.36,0.325,500,3899,3110,28379,2506,530,14684,19,3271,5031,5268,8902,261,36896429,514,23352,-77.9828707153052,0.838525491562421,35,183,1,0.342105172194619
6.08,6.57,5.04109589041096,6.95890410958904,0.2724,0.5812,0.205,0.232,0.148,1691,4503,2441,28443,2134,478,15985,20,2396,5145,5560,8042,261,33938132,448,23842,-77.9828707153052,0.279508497187474,36,183,1,0.817118851307114
6.57,7.47,6.13698630136986,7.28767123287671,0.3296,0.6811,0.27,0.28,0.225,1913,5278,3117,28484,3291,496,15328,16,2481,4813,5576,8365,261,32457578,500,23283,-77.9828707153052,-0.279508497187474,37,183,1,0.531685314237565
7.02,7.17,6.52054794520548,7.72602739726027,0.3528,0.6966,0.285,0.304,0.253,3420,5672,3399,29295,3559,489,14498,35,2766,4754,5391,8856,261,29549971,519,23648,-77.9828707153052,-0.838525491562421,38,183,1,0.521122048508881
7.25,6.92,6.63013698630137,8.19178082191781,0.3616,0.7035,0.29,0.324,0.282,3355,6176,2772,29413,2922,495,14656,37,2965,4859,5261,9373,375,26766558,529,23866,-77.9828707153052,-1.39754248593737,39,183,1,0.77430970898665
7.51,7.14,7.12328767123288,8.32876712328767,0.3681,0.7244,0.305,0.344,0.306,3485,6450,2772,29375,3865,525,13835,30,3077,4793,5217,9808,264,25388810,535,24685,-77.9828707153052,-1.95655948031232,40,183,1,0.120262770779979
7.83,8.35,7.80821917808219,8.19178082191781,0.3739,0.7386,0.335,0.372,0.336,3323,6506,2079,29482,4478,556,13379,32,3115,4696,5218,10542,264,22690713,545,26051,-77.9828707153052,-2.51557647468726,41,183,1,0.625450151917525
8.02,8.43,7.80821917808219,7.89041095890411,0.3801,0.7452,0.355,0.376,0.345,2704,6689,2144,29659,2908,551,13913,37,3126,4538,5125,11165,402,21821456,549,27578,-77.9828707153052,-3.07459346906221,42,183,1,0.346648685550547
8.16,8.68,8,7.64383561643836,0.3935,0.7714,0.37,0.388,0.353,1870,6719,2409,29677,2664,547,14829,43,3122,4427,4996,11393,402,21664841,545,27970,-77.9828707153052,-3.63361046343716,43,183,1,0.334619385839875
8.16,8.84,8.32876712328767,7.94520547945205,0.3986,0.7808,0.38,0.396,0.361,1321,6752,1867,29725,3041,548,15057,38,2976,4369,4980,11164,402,21358187,547,27567,-77.9828707153052,-4.19262745781211,44,183,1,0.574616563380975
8.35,8.92,8.63013698630137,8.19178082191781,0.4197,0.8112,0.41,0.424,0.387,1348,6800,2234,29559,3112,556,15101,34,3137,4305,5013,11330,402,22296718,545,27595,-77.9828707153052,-4.75164445218705,45,183,1,0.863937641058782
7.81,8.41,7.97260273972603,7.89041095890411,0.3549,0.7371,0.33,0.352,0.316,1415,6496,3576,29206,2883,556,14977,24,3186,4715,5190,9789,340,23514796,514,26175,-77.9828707153052,-5.310661446562,46,183,1,0.198563072170653
7.26,6.75,7.01369863013699,7.91780821917808,0.2781,0.6425,0.27,0.308,0.284,860,5495,1542,28778,2927,514,15039,18,3114,5259,5463,7806,264,25963159,473,25151,-77.9828707153052,-5.86967844093695,47,183,1,0.672450963697648
6.8,5.58,6.65753424657534,8.46575342465753,0.2497,0.6016,0.275,0.296,0.269,2347,4640,1370,28571,2061,485,15857,30,2975,5075,5475,7750,264,27292274,496,28275,-77.9828707153052,-6.4286954353119,48,183,1,0.901831370980072
6.75,5.41,6.71232876712329,8.38356164383562,0.2476,0.5958,0.28,0.304,0.271,3238,4369,1753,28559,2138,436,16512,32,2900,4700,5550,8250,261,25989687,458,27950,-77.9828707153052,-6.98771242968684,49,183,1,0.199157181618953
7.69,8.25,6.84931506849315,6.63013698630137,0.3893,0.7538,0.375,0.376,0.359,181,6719,1333,29777,2955,529,13256,36,3373,4194,5237,11692,375,18947327,511,26075,-77.4238537209302,8.66476341281169,21,184,1,0.298284149829983
8.1,8.31,6.84931506849315,6.65753424657534,0.3988,0.7728,0.41,0.396,0.376,75,6553,1552,29685,3537,515,13744,31,3231,4213,5206,11701,402,45680677,557,26058,-77.4238537209302,8.10574641843674,22,184,1,0.496520270263375
8.17,8.78,6.71232876712329,6.54794520547945,0.4118,0.7846,0.415,0.4,0.386,507,6518,1666,29766,3583,549,13347,38,3231,4089,5226,11579,389,44686591,572,25473,-77.4238537209302,7.54672942406179,23,184,1,0.88990423168468
7.59,8.04,6.05479452054795,6.24657534246575,0.3893,0.7569,0.36,0.364,0.353,335,6370,2038,29764,4896,546,12782,31,3393,4098,5236,11154,261,20853650,529,25704,-77.4238537209302,6.98771242968684,24,184,1,0.501414589868598
6.93,8.06,5.53424657534247,6.02739726027397,0.3718,0.7375,0.295,0.34,0.293,0,6174,2107,29743,7082,542,9431,31,3381,4623,5187,10350,261,19290516,442,22611,-77.4238537209302,6.4286954353119,25,184,1,0.276995239103975
6.74,7.82,5.67123287671233,6.19178082191781,0.3952,0.774,0.315,0.348,0.332,0,5989,1891,29764,6752,583,8319,30,3368,4516,5266,10272,261,14532160,457,23041,-77.4238537209302,5.86967844093695,26,184,1,0.53395817866685
6.49,7.93,5.72602739726027,6.43835616438356,0.386,0.7667,0.31,0.344,0.326,0,5838,1914,29750,6875,553,8579,28,3445,4235,5163,10092,261,15349826,456,22458,-77.4238537209302,5.310661446562,27,184,1,0.574249553785642
7.49,7.64,5.45205479452055,6.63013698630137,0.3861,0.7747,0.335,0.344,0.347,0,5811,1869,29803,9810,437,8465,24,3467,3827,4950,10337,389,13093596,471,23257,-77.4238537209302,4.75164445218705,28,184,1,0.412804401721059
6.93,6.96,5.31506849315068,6.93150684931507,0.3661,0.7496,0.27,0.332,0.339,0,5899,1823,29817,15345,579,8730,24,3488,3972,4831,10027,389,15957901,465,24081,-77.4238537209302,4.19262745781211,29,184,1,0.0147636628050427
6.3,7.34,5.12328767123288,7.15068493150685,0.3617,0.7288,0.32,0.32,0.328,0,6049,1823,29769,18742,588,7449,28,3166,4200,5016,10577,389,16159547,476,23794,-77.4238537209302,3.63361046343716,30,184,1,0.702764803428255
7.58,7.19,5.28767123287671,7.64383561643836,0.357,0.7188,0.3,0.316,0.318,0,5986,2499,29767,10740,577,9260,28,3179,4141,5096,10667,261,16672450,493,21396,-77.4238537209302,3.07459346906221,31,184,1,0.506747151486991
7.07,7.73,5.42465753424658,7.47945205479452,0.3406,0.6895,0.275,0.312,0.271,41,5956,4047,29586,11723,579,10346,25,3293,4699,5214,9450,261,33491277,466,20339,-77.4238537209302,2.51557647468726,32,184,1,0.38126609842696
7.26,8.46,5.67123287671233,7.36986301369863,0.3341,0.6837,0.29,0.324,0.293,204,5003,4700,29360,5241,506,14224,32,3240,4997,5165,9559,261,38369364,467,20912,-77.4238537209302,1.95655948031232,33,184,1,0.0649315348738551
6.67,8,5.89041095890411,7.80821917808219,0.3184,0.6733,0.26,0.312,0.271,558,4416,3266,29075,4173,511,14915,33,2840,5330,5270,8390,264,38976280,479,18511,-77.4238537209302,1.39754248593737,34,184,1,0.358579960661015
6.23,7.74,5.17808219178082,6.79452054794521,0.2928,0.6183,0.205,0.252,0.148,3157,3899,3273,28539,2806,482,14649,17,2552,5104,5496,7734,261,37696064,453,23081,-77.4238537209302,0.838525491562421,35,184,1,0.234251242532243
7.27,7.3,6.02739726027397,7.80821917808219,0.3652,0.7074,0.295,0.32,0.27,2898,4503,2925,29235,2717,472,14647,34,2995,4787,5303,10005,261,33452403,545,25012,-77.4238537209302,0.279508497187474,36,184,1,0.20350405288897
7.39,8.11,6.63013698630137,8.24657534246575,0.3859,0.738,0.31,0.336,0.3,2785,5278,2242,29253,3577,484,14555,31,3050,4876,5102,10160,264,31329135,545,25791,-77.4238537209302,-0.279508497187474,37,184,1,0.81377958316422
8,8.78,7.17808219178082,8.16438356164384,0.4115,0.7702,0.375,0.384,0.369,1454,5672,2085,29634,3465,550,14481,34,3102,4357,4863,10840,402,27506429,568,26778,-77.4238537209302,-0.838525491562421,38,184,1,0.393434593593473
8.31,8.91,7.28767123287671,7.91780821917808,0.4244,0.7892,0.4,0.404,0.382,756,6176,2138,29676,3336,571,14530,34,2917,3923,4740,11445,402,24663624,589,27714,-77.4238537209302,-1.39754248593737,39,184,1,0.0535751708614938
8.26,8.98,7.50684931506849,7.75342465753425,0.4128,0.7771,0.39,0.4,0.376,745,6450,2138,29665,2831,550,14193,34,2910,3941,4707,11290,402,23342335,587,27202,-77.4238537209302,-1.95655948031232,40,184,1,0.375051578272469
8.35,9.04,8.24657534246575,7.86301369863014,0.423,0.7912,0.415,0.424,0.399,810,6506,2010,29732,2986,569,13959,34,2833,3825,4644,11071,402,20764204,597,28041,-77.4238537209302,-2.51557647468726,41,184,1,0.774994177417674
8.31,8.88,8.21917808219178,8.16438356164384,0.4145,0.7775,0.41,0.408,0.391,408,6689,1740,29788,3230,571,13995,33,3010,3815,4602,10746,389,20208081,598,29453,-77.4238537209302,-3.07459346906221,42,184,1,0.165297620870777
8.28,8.84,8.24657534246575,8.19178082191781,0.4089,0.7758,0.4,0.404,0.385,396,6719,1668,29790,3546,542,14545,34,3079,3927,4548,10903,402,20236938,585,30725,-77.4238537209302,-3.63361046343716,43,184,1,0.912218897036659
8.14,8.64,8.16438356164384,8.08219178082192,0.3961,0.7658,0.385,0.388,0.372,332,6752,1662,29762,3228,517,14684,33,3085,3973,4600,10744,402,20303755,564,27994,-77.4238537209302,-4.19262745781211,44,184,1,0.319205781809233
8.3,8.67,8.6027397260274,8.43835616438356,0.4149,0.7896,0.405,0.404,0.383,362,6800,2159,29711,2536,516,14975,37,3114,4112,4720,10072,402,21834378,589,29372,-77.4238537209302,-4.75164445218705,45,184,1,0.329779668283949
8.05,8.74,7.89041095890411,8.35616438356164,0.3701,0.7504,0.345,0.36,0.329,759,6496,2473,29358,2690,542,15259,31,3371,4479,5110,10119,340,23482476,549,28159,-77.4238537209302,-5.310661446562,46,184,1,0.204235670095109
7.41,7.87,7.17808219178082,8.27397260273973,0.3005,0.6712,0.275,0.316,0.284,1582,5495,2456,29197,2204,526,15577,34,3150,5101,5425,8531,264,26789479,487,25042,-77.4238537209302,-5.86967844093695,47,184,1,0.767214736379813
7.71,7.21,7.01369863013699,8.10958904109589,0.3,0.6774,0.31,0.328,0.291,2664,4640,2123,28873,2271,482,15527,26,3440,4802,5370,8868,264,28840168,496,27525,-77.4238537209302,-6.4286954353119,48,184,1,0.0699731489528251
7.98,7.31,7.28767123287671,8.32876712328767,0.3253,0.712,0.325,0.36,0.313,2796,4369,2471,28738,2762,436,15911,26,3399,4700,5314,9557,264,27656503,503,28025,-77.4238537209302,-6.98771242968684,49,184,1,0.950033948013614
7.55,7.37,6.68493150684932,8.08219178082192,0.2746,0.6419,0.295,0.328,0.269,2786,4204,2471,28534,2430,435,16377,24,3166,4889,5350,9014,261,24332950,451,27314,-77.4238537209302,-7.54672942406179,50,184,1,0.158209784906886
7.39,7.17,6.32876712328767,8.3013698630137,0.2481,0.5959,0.285,0.292,0.252,3494,3588,2076,28363,1796,418,16327,30,2880,4500,5380,8840,261,21202453,442,27320,-77.4238537209302,-8.10574641843674,51,184,1,0.286445866401004
6.84,7.73,6.76712328767123,6.76712328767123,0.4268,0.7831,0.425,0.392,0.393,526,7495,1788,29846,2315,501,12600,45,3133,3966,5316,11733,389,31797273,579,19933,-76.8648367265553,8.10574641843674,22,185,1,0.68712911473695
7.92,8.04,6,6.32876712328767,0.3829,0.7163,0.375,0.348,0.308,211,7332,2572,29891,3493,551,13212,44,2931,3531,4925,11975,389,50103655,510,9806,-76.8648367265553,7.54672942406179,23,185,1,0.141149823637791
7.8,8.41,5.97260273972603,6,0.4072,0.7587,0.355,0.356,0.36,199,6763,3675,29864,4604,567,12038,38,3274,4022,5074,11278,389,51559823,496,21442,-76.8648367265553,6.98771242968684,24,185,1,0.512086650483433
7.57,8.31,5.80821917808219,5.89041095890411,0.3984,0.7539,0.33,0.348,0.344,330,6350,3960,29738,7575,581,10378,25,3236,4112,4965,11229,389,50809212,472,24384,-76.8648367265553,6.4286954353119,25,185,1,0.721326927294165
7.58,8.25,5.78082191780822,6.08219178082192,0.4016,0.77,0.33,0.344,0.349,312,6149,3686,29735,7707,584,10167,23,3274,4119,4975,10864,389,48964073,474,23523,-76.8648367265553,5.86967844093695,26,185,1,0.928845135619855
7.62,8.39,5.97260273972603,6.41095890410959,0.4112,0.7897,0.36,0.356,0.365,292,6053,3931,29738,6955,583,9921,23,3308,3993,4844,10594,389,47046149,496,22662,-76.8648367265553,5.310661446562,27,185,1,0.73210385001626
7.52,7.8,5.58904109589041,6.52054794520548,0.3783,0.7578,0.33,0.336,0.338,47,5938,4592,29774,7617,583,10187,24,3403,4043,4778,10165,389,46041006,493,23155,-76.8648367265553,4.75164445218705,28,185,1,0.749848020738123
7.26,7.33,5.31506849315068,6.65753424657534,0.3516,0.7258,0.29,0.312,0.302,40,5947,4223,29733,9914,583,9862,23,3253,4245,4802,10458,389,43782457,493,23105,-76.8648367265553,4.19262745781211,29,185,1,0.407319603105505
6.67,7,5.45205479452055,6.79452054794521,0.3381,0.7102,0.27,0.312,0.267,39,6171,4223,29539,25849,592,10251,21,3200,4750,5113,10014,261,41531204,473,19637,-76.8648367265553,3.63361046343716,30,185,1,0.239491695587883
6.78,8.03,5.15068493150685,6.9041095890411,0.3082,0.6663,0.25,0.296,0.266,49,5981,5038,29420,19084,582,11313,19,3188,5060,5222,9179,261,40491396,469,20330,-76.8648367265553,3.07459346906221,31,185,1,0.520850475083039
7.35,8.07,5.47945205479452,7.20547945205479,0.3133,0.6785,0.305,0.316,0.303,616,5643,3671,29227,7002,554,12058,17,3247,5052,5152,9142,264,39193755,482,24276,-76.8648367265553,2.51557647468726,32,185,1,0.219077360108904
6.74,7.15,4.68493150684932,6.84931506849315,0.2415,0.5729,0.245,0.268,0.219,1706,4490,2942,29246,4548,517,15146,47,2683,4958,5333,7766,264,38222578,405,25658,-76.8648367265553,1.95655948031232,33,185,1,0.842387903898747
6.7,6.97,5.20547945205479,7.0958904109589,0.2854,0.6261,0.25,0.288,0.212,1116,4487,3487,28710,2684,509,15683,27,2771,5210,5368,8279,261,37691505,466,25305,-76.8648367265553,1.39754248593737,34,185,1,0.662932909051294
6.68,7.58,5.50684931506849,7.26027397260274,0.326,0.6634,0.23,0.28,0.181,2865,5320,3991,29393,2929,483,14478,39,2903,5173,5350,8820,375,35179954,495,22853,-76.8648367265553,0.838525491562421,35,185,1,0.816235285166455
8.2,8.42,6.57534246575342,8.10958904109589,0.4151,0.7664,0.38,0.392,0.373,1798,6691,1900,29695,3245,552,13994,40,3300,4158,4825,11408,389,30943083,593,25258,-76.8648367265553,0.279508497187474,36,185,1,0.793877600102571
8.21,8.96,7.01369863013699,7.89041095890411,0.4282,0.7882,0.405,0.412,0.386,786,7309,1724,29713,3550,563,14072,34,3070,3795,4480,11430,389,28823307,601,27490,-76.8648367265553,-0.279508497187474,37,185,1,0.469105203551762
8.13,8.96,6.95890410958904,7.75342465753425,0.4183,0.7753,0.39,0.38,0.374,572,7262,1748,29735,3567,574,14225,33,3092,3776,4379,10730,389,25143123,592,28240,-76.8648367265553,-0.838525491562421,38,185,1,0.309524979334574
8.15,8.95,6.98630136986301,7.89041095890411,0.4049,0.7597,0.385,0.368,0.367,413,7084,1769,29744,3057,572,14295,34,3001,3760,4481,9697,402,22755885,586,28400,-76.8648367265553,-1.39754248593737,39,185,1,0.687579247513742
8.24,9.03,7.3972602739726,7.97260273972603,0.4114,0.7733,0.39,0.368,0.37,454,6919,1769,29746,3054,560,14263,34,2968,3705,4459,9695,402,21693782,589,27859,-76.8648367265553,-1.95655948031232,40,185,1,0.986852223389968
8.28,9.12,7.78082191780822,8.02739726027397,0.4111,0.7739,0.395,0.372,0.373,313,6731,1790,29774,3135,559,14119,34,2964,3698,4397,10128,402,19624639,591,28530,-76.8648367265553,-2.51557647468726,41,185,1,0.769933875855542
8.29,9.01,8.13698630136986,8.02739726027397,0.4155,0.7798,0.405,0.388,0.385,237,6744,1899,29780,2994,572,13987,33,3101,3786,4453,10239,402,19298978,595,28941,-76.8648367265553,-3.07459346906221,42,185,1,0.829580846725193
8.25,8.69,8.24657534246575,8.02739726027397,0.4078,0.7661,0.4,0.388,0.38,213,6786,1968,29802,3285,549,14224,32,3056,3830,4431,9034,402,19400884,597,30990,-76.8648367265553,-3.63361046343716,43,185,1,0.706084765450312
8.21,8.22,8.21917808219178,8.13698630136986,0.3996,0.7555,0.39,0.376,0.368,305,6884,1913,29821,3258,498,14334,32,2934,3782,4398,8179,402,19610123,591,30377,-76.8648367265553,-4.19262745781211,44,185,1,0.595336418647749
