GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,LAI,NIRv,BCdepo,AirTemperature,Precipitation,SoilMoisture,Radiation,VPD,Elevation,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Region,isAmazon,longitude,latitude,indRows,indCols,Year,Month,randomNum
0.499878302045607,0.381340108081449,0.497872340425532,0.606037414965986,0.49957041318441,5.98149999999999,0.242116666666667,1757.07916666667,24.68275,268.904166666667,46.65,1171.98333333333,33.4708333333333,408,3010,3815,4602,10746,389,1,1,-77.42385372093,-3.0745934690622,42,184,2010.5,6.5,0.511603935600697
0.484577286029091,0.380455359680759,0.46366612111293,0.580272108843537,0.469887176227554,5.85550000000001,0.236679166666667,1706.07916666667,24.7265416666667,287.125,44.6666666666667,1204.30416666667,34.1166666666667,396,3079,3927,4548,10903,402,1,1,-77.42385372093,-3.63361046343718,43,184,2010.5,6.5,0.485272024035645
0.450534407447001,0.365689172377316,0.395417348608838,0.490051020408163,0.417636491447317,5.6685,0.225883333333333,1779.05833333333,24.6501666666667,272.920833333333,41.3916666666667,1223.2125,33.6666666666667,332,3085,3973,4600,10744,402,1,1,-77.42385372093,-4.19262745781211,44,184,2010.5,6.5,0.510126045076158
0.511492747936652,0.408470515099436,0.46734860883797,0.576615646258503,0.467234241974537,5.8945,0.237833333333333,2068.6625,24.295,242.820833333333,42.7291666666667,1239.75416666667,35.6,362,3114,4112,4720,10072,402,1,1,-77.42385372093,-4.75164445218706,45,184,2010.5,6.5,0.537340203655974
0.46798706257131,0.346312825108564,0.392716857610475,0.383418367346939,0.381707412325236,5.86199999999999,0.221525,1854.27916666667,24.39225,247.929166666667,46.7,1180.64166666667,34.225,413,3001,3760,4481,9697,402,1,1,-76.8648367265556,-1.39754248593737,39,185,2010.5,6.5,0.511885658207513
0.482379125711071,0.363958181410337,0.417512274959084,0.399489795918368,0.394247576672493,5.8845,0.226441666666667,1814.50416666667,24.3249583333334,241.283333333333,46.4541666666667,1184.42916666667,34.7166666666667,454,2968,3705,4459,9695,402,1,1,-76.8648367265556,-1.95655948031231,40,185,2010.5,6.5,0.474588460851889
0.484514123803492,0.368172363244471,0.436088379705401,0.417772108843538,0.424280947084062,5.91400000000001,0.2303875,1842.98333333333,24.5294583333333,249.4125,45.4,1172.2375,33.95,313,2964,3698,4397,10128,402,1,1,-76.8648367265556,-2.51557647468725,41,185,2010.5,6.5,0.491773449994471
0.500960726355969,0.381441914440831,0.478150572831424,0.492006802721088,0.47505164468457,5.9525,0.237904166666667,1869.84583333333,24.6955,245.1375,45.9666666666667,1161.79166666667,32.825,237,3101,3786,4453,10239,402,1,1,-76.8648367265556,-3.0745934690622,42,185,2010.5,6.5,0.492640043346798
0.486591287057575,0.364517934018308,0.454255319148936,0.485204081632653,0.444973834257596,5.96750000000001,0.238816666666667,1875.1125,24.866625,257.858333333333,44.5083333333333,1173.58333333333,31.9208333333333,213,3056,3830,4431,9034,402,1,1,-76.8648367265556,-3.63361046343718,43,185,2010.5,6.5,0.508171574385912
0.463701985106127,0.351208030970357,0.413584288052373,0.431207482993198,0.390689682105757,5.91000000000001,0.233216666666667,1860.36666666667,25.1071666666667,258.808333333333,40.2416666666667,1187.94166666667,32.4791666666667,305,2934,3782,4398,8179,402,1,1,-76.8648367265556,-4.19262745781211,44,185,2010.5,6.5,0.478718777202149
0.452090316986212,0.34105335066307,0.363011456628478,0.356377551020408,0.334062329141608,5.831,0.2250125,1914.64583333333,25.2592083333334,265.641666666667,40.0375,1218.85,34.9291666666667,182,2902,3831,4420,7752,402,1,1,-76.8648367265556,-4.75164445218706,45,185,2010.5,6.5,0.524981729629013
0.474794707099449,0.390799500753009,0.390916530278232,0.505272108843538,0.427634148246505,5.77899999999999,0.228445833333333,2150.2375,23.7017916666667,212.933333333333,43.8791666666667,1268.91666666667,40.1125,436,3168,4147,4799,9591,402,1,1,-76.8648367265556,-5.31066144656202,46,185,2010.5,6.5,0.522901742971385
0.498141431515191,0.358576987304937,0.368166939443535,0.359013605442177,0.356972179552825,5.95449999999999,0.2214625,2014.1625,24.59575,285.066666666667,43.5166666666667,1160.68333333333,33.575,424,3089,3892,4596,11410,389,1,1,-76.3058197321806,0.279508497187473,36,186,2010.5,6.5,0.476206649724756
0.495660063370372,0.356599032513864,0.401554828150573,0.394557823129252,0.377126099706745,5.92649999999999,0.226179166666667,1752.95,24.7474166666667,284.7125,46.2083333333333,1150.21666666667,33.1083333333333,329,3033,4004,4470,10497,402,1,1,-76.3058197321806,-0.279508497187473,37,186,2010.5,6.5,0.491328265308726
0.498598626745275,0.363912355385025,0.427168576104746,0.43265306122449,0.406857767710693,5.92299999999999,0.227045833333333,1698.21666666667,24.5605,262.720833333333,46.7958333333333,1148.45833333333,33.2541666666667,319,3058,3799,4372,10724,402,1,1,-76.3058197321806,-0.838525491562422,38,186,2010.5,6.5,0.541339508636749
0.460681758415347,0.336510645025382,0.40139116202946,0.3875,0.395121563642142,5.87699999999999,0.227758333333333,1716.17083333333,24.65775,239.508333333333,46.7125,1154.2875,33.9583333333333,305,2969,3833,4401,10343,402,1,1,-76.3058197321806,-1.39754248593737,39,186,2010.5,6.5,0.493207372810392
0.448643449892673,0.328717234142409,0.399345335515548,0.37015306122449,0.386773385075592,5.8795,0.224283333333333,1756.77916666667,24.692625,233.633333333333,46.6666666666667,1161.05416666667,33.8333333333333,332,2967,3907,4447,10575,402,1,1,-76.3058197321806,-1.95655948031231,40,186,2010.5,6.5,0.469198095699565
