GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,ELEVATION,BCCMASS,BCdepo,TA,RF,SW,VPD,Ndepo,LAI,longitude,latitude,indRows,indCols,Region,randomNum
3561,6946,61,82,25,5074,2098,29607,6527,11814,26,37229255,49,-77.9828707153052,1.95655948031232,33,183,1,0.375210054242112
3433,6868,58,81,30,4476,3590,29287,7206,12035,18,38348206,47,-77.9828707153052,1.39754248593737,34,183,1,0.329903979134036
3389,6945,70,90,500,3959,3275,28381,2595,14597,19,38141805,50,-77.9828707153052,0.838525491562421,35,183,1,0.342105172194619
2724,5812,42,59,1691,4565,2540,28445,2225,15884,20,35030787,44,-77.9828707153052,0.279508497187474,36,183,1,0.817118851307114
3296,6811,55,71,1913,5320,3102,28489,3425,15230,16,33473824,49,-77.9828707153052,-0.279508497187474,37,183,1,0.531685314237565
3528,6966,58,76,3420,5683,3299,29298,3749,14435,35,30415195,51,-77.9828707153052,-0.838525491562421,38,183,1,0.521122048508881
3616,7035,60,81,3355,6160,2697,29416,3092,14600,36,27484949,52,-77.9828707153052,-1.39754248593737,39,183,1,0.77430970898665
3681,7244,63,86,3485,6408,2697,29378,4050,13767,30,26034257,53,-77.9828707153052,-1.95655948031232,40,183,1,0.120262770779979
3739,7386,69,93,3323,6392,2068,29484,4648,13314,32,23193976,54,-77.9828707153052,-2.51557647468726,41,183,1,0.625450151917525
3801,7452,74,95,2704,6534,2093,29660,3009,13857,36,22293546,54,-77.9828707153052,-3.07459346906221,42,183,1,0.346648685550547
3935,7714,77,98,1870,6530,2322,29679,2713,14770,42,22138144,54,-77.9828707153052,-3.63361046343716,43,183,1,0.334619385839875
3986,7808,79,100,1321,6540,1794,29726,3144,14983,38,21834114,55,-77.9828707153052,-4.19262745781211,44,183,1,0.574616563380975
4197,8112,85,108,1348,6573,2157,29562,3207,15015,34,22808152,54,-77.9828707153052,-4.75164445218705,45,183,1,0.863937641058782
3549,7371,69,89,1415,6275,3444,29209,2974,14898,24,24063802,52,-77.9828707153052,-5.310661446562,46,183,1,0.198563072170653
2781,6425,57,79,860,5336,1562,28781,2996,14969,17,26587567,48,-77.9828707153052,-5.86967844093695,47,183,1,0.672450963697648
2497,6016,58,76,2347,4560,1327,28573,2116,15818,29,27962804,49,-77.9828707153052,-6.4286954353119,48,183,1,0.901831370980072
2476,5958,59,78,3238,4335,1679,28561,2198,16475,32,26631788,46,-77.9828707153052,-6.98771242968684,49,183,1,0.199157181618953
3893,7538,79,95,181,6780,1372,29775,3020,13165,36,19209196,51,-77.4238537209302,8.66476341281169,21,184,1,0.298284149829983
3988,7728,84,100,75,6608,1554,29684,3647,13622,30,46322468,55,-77.4238537209302,8.10574641843674,22,184,1,0.496520270263375
4118,7846,86,101,507,6559,1675,29762,3788,13231,36,45293040,57,-77.4238537209302,7.54672942406179,23,184,1,0.88990423168468
3893,7569,75,92,335,6376,2079,29760,5114,12661,30,21113676,52,-77.4238537209302,6.98771242968684,24,184,1,0.501414589868598
3718,7375,61,85,0,6148,2171,29741,7218,9334,30,19487407,44,-77.4238537209302,6.4286954353119,25,184,1,0.276995239103975
3952,7740,66,88,0,5942,1943,29764,6810,8243,30,14591295,46,-77.4238537209302,5.86967844093695,26,184,1,0.53395817866685
3860,7667,63,87,0,5788,1860,29749,6897,8509,28,15304718,46,-77.4238537209302,5.310661446562,27,184,1,0.574249553785642
3861,7747,69,87,0,5765,1801,29803,9798,8409,24,13031426,46,-77.4238537209302,4.75164445218705,28,184,1,0.412804401721059
3661,7496,55,83,0,5874,1795,29818,15321,8688,24,15934166,46,-77.4238537209302,4.19262745781211,29,184,1,0.0147636628050427
3617,7288,66,82,0,6050,1795,29771,17957,7499,28,16195334,47,-77.4238537209302,3.63361046343716,30,184,1,0.702764803428255
3570,7188,61,79,0,6028,2473,29769,10255,9307,29,16749975,48,-77.4238537209302,3.07459346906221,31,184,1,0.506747151486991
3406,6895,56,79,41,6031,4047,29587,11411,10300,25,33967472,46,-77.4238537209302,2.51557647468726,32,184,1,0.38126609842696
3341,6837,59,81,204,5074,4696,29357,5207,14100,31,39310372,47,-77.4238537209302,1.95655948031232,33,184,1,0.0649315348738551
3184,6733,53,79,558,4476,3309,29069,4229,14794,32,40119503,48,-77.4238537209302,1.39754248593737,34,184,1,0.358579960661015
2928,6183,43,63,3157,3959,3252,28543,2913,14586,17,38977712,45,-77.4238537209302,0.838525491562421,35,184,1,0.234251242532243
3652,7074,61,81,2898,4565,2890,29241,2882,14602,34,34557052,54,-77.4238537209302,0.279508497187474,36,184,1,0.20350405288897
3859,7380,63,84,2785,5320,2210,29258,3775,14490,31,32345236,54,-77.4238537209302,-0.279508497187474,37,184,1,0.81377958316422
4115,7702,77,97,1454,5683,2064,29637,3596,14432,34,28352840,56,-77.4238537209302,-0.838525491562421,38,184,1,0.393434593593473
4244,7892,83,102,756,6160,2127,29680,3461,14483,34,25357499,58,-77.4238537209302,-1.39754248593737,39,184,1,0.0535751708614938
4128,7771,81,101,745,6408,2127,29668,2932,14127,34,23961721,58,-77.4238537209302,-1.95655948031232,40,184,1,0.375051578272469
4230,7912,86,107,810,6392,1967,29735,3073,13895,34,21238234,59,-77.4238537209302,-2.51557647468726,41,184,1,0.774994177417674
4145,7775,85,103,408,6534,1681,29791,3301,13947,33,20645102,59,-77.4238537209302,-3.07459346906221,42,184,1,0.165297620870777
4089,7758,83,102,396,6530,1597,29792,3602,14490,34,20671851,58,-77.4238537209302,-3.63361046343716,43,184,1,0.912218897036659
3961,7658,80,98,332,6540,1563,29763,3326,14618,33,20734853,56,-77.4238537209302,-4.19262745781211,44,184,1,0.319205781809233
4149,7896,83,102,362,6573,1975,29712,2634,14880,37,22311244,58,-77.4238537209302,-4.75164445218705,45,184,1,0.329779668283949
3701,7504,71,91,759,6275,2271,29360,2801,15151,30,24012269,54,-77.4238537209302,-5.310661446562,46,184,1,0.204235670095109
3005,6712,58,81,1582,5336,2253,29193,2332,15464,33,27425319,49,-77.4238537209302,-5.86967844093695,47,184,1,0.767214736379813
3000,6774,64,84,2664,4560,1914,28876,2342,15436,26,29549375,49,-77.4238537209302,-6.4286954353119,48,184,1,0.0699731489528251
3253,7120,68,92,2796,4335,2269,28739,2870,15830,26,28344927,50,-77.4238537209302,-6.98771242968684,49,184,1,0.950033948013614
2746,6419,63,85,2786,4230,2269,28535,2509,16302,24,24954917,45,-77.4238537209302,-7.54672942406179,50,184,1,0.158209784906886
2481,5959,58,73,3494,3603,1990,28364,1847,16276,29,21768289,44,-77.4238537209302,-8.10574641843674,51,184,1,0.286445866401004
4268,7831,88,99,526,7565,1833,29845,2369,12510,44,32255021,57,-76.8648367265553,8.10574641843674,22,185,1,0.68712911473695
3829,7163,77,86,211,7390,2687,29887,3613,13113,43,50814870,50,-76.8648367265553,7.54672942406179,23,185,1,0.141149823637791
4072,7587,73,89,199,6769,3824,29860,4788,11941,36,52248273,48,-76.8648367265553,6.98771242968684,24,185,1,0.512086650483433
3984,7539,69,87,330,6314,4058,29736,7754,10289,24,51391847,46,-76.8648367265553,6.4286954353119,25,185,1,0.721326927294165
4016,7700,69,86,312,6100,3691,29734,7834,10086,22,49283555,47,-76.8648367265553,5.86967844093695,26,185,1,0.928845135619855
4112,7897,73,89,292,6013,3793,29737,7066,9845,23,47095970,49,-76.8648367265553,5.310661446562,27,185,1,0.73210385001626
3783,7578,67,84,47,5919,4474,29774,7639,10157,24,46014724,48,-76.8648367265553,4.75164445218705,28,185,1,0.749848020738123
3516,7258,60,79,40,5954,4167,29733,9790,9845,23,43804049,49,-76.8648367265553,4.19262745781211,29,185,1,0.407319603105505
3381,7102,54,78,39,6201,4167,29540,24954,10246,21,41607395,46,-76.8648367265553,3.63361046343716,30,185,1,0.239491695587883
3082,6663,49,74,49,6034,4913,29421,18271,11286,19,40618151,46,-76.8648367265553,3.07459346906221,31,185,1,0.520850475083039
3133,6785,62,80,616,5700,3631,29226,6826,11963,17,39614250,47,-76.8648367265553,2.51557647468726,32,185,1,0.219077360108904
