SIF,ELEVATION,BCCMASS,TA,RF,SW,VPD,Region,randomNum
2665,877,5150,28803,4651,14571,31,1,1
2593,1516,4796,28512,3885,14645,19,1,0
2481,1352,4665,28800,2878,14622,20,1,1
3235,2003,5697,28997,5650,14539,21,1,1
4153,1775,7238,29772,3579,14166,37,1,1
4215,424,7911,29778,3570,13900,33,1,0
4189,329,7665,29792,3651,13798,33,1,0
4185,319,7359,29772,3287,13741,33,1,0
4027,305,7065,29782,2989,13791,34,1,0
3976,332,6864,29789,2805,13871,33,1,0
4022,286,6591,29774,2850,13832,32,1,1
3870,249,6538,29784,2915,13771,32,1,1
3920,221,6568,29813,2994,13886,32,1,1
3886,165,6647,29822,2968,13989,32,1,1
3771,149,6787,29861,2772,14588,36,1,0
3986,166,6955,29848,2779,14904,40,1,0
4098,823,7041,29835,2466,14902,46,1,0
4015,1466,6994,29641,2292,15471,37,1,0
4177,1139,6928,29668,2352,15666,37,1,0
4148,752,6781,29576,2830,15498,35,1,0
3724,2081,6231,29384,3976,14626,32,1,0
3030,3281,5771,29445,2840,14472,47,1,1
2701,3544,5332,28893,2101,15474,29,1,0
2394,4164,4556,28398,1886,16261,20,1,0
4285,181,9161,29940,2405,15060,54,1,1
4066,349,8874,29389,3743,13927,31,1,1
2946,1419,6079,29076,3888,14281,20,1,1
2883,1860,6210,29186,2961,15154,36,1,1
3212,1456,6388,28955,5538,13901,20,1,1
3072,1377,5923,29200,7719,13342,21,1,0
2927,1235,5490,28946,7372,14516,24,1,0
2723,2150,5721,28699,1965,15175,43,1,0
2520,2447,5889,28582,2790,14625,25,1,0
2937,2661,5748,28911,2693,14767,34,1,0
3148,2171,5797,29112,2395,14762,28,1,1
3602,1726,7241,29567,2385,14613,44,1,1
4321,259,8417,29796,3701,14170,36,1,1
4214,261,8261,29788,3561,13963,34,1,1
3967,253,7685,29791,3399,13830,34,1,1
4012,238,7259,29795,3004,13775,34,1,1
3979,247,6959,29792,3030,13774,33,1,0
3950,232,6758,29793,2953,13806,32,1,0
3944,235,6605,29792,2832,13812,32,1,0
3860,235,6572,29784,2927,13780,31,1,0
3889,196,6614,29809,2885,13911,32,1,1
3927,158,6718,29819,2886,13979,32,1,1
3763,140,6866,29864,2751,14378,36,1,0
4054,132,7000,29864,2597,14671,38,1,0
4278,158,7076,29849,2576,14824,39,1,1
4190,385,7170,29731,2161,15249,43,1,1
4136,649,7100,29608,2819,15296,36,1,1
4331,719,7193,29651,2535,15141,38,1,0
3901,1172,7195,29427,3938,14423,32,1,1
3741,1234,7341,29408,4529,14297,31,1,0
3357,986,7339,29196,2910,14925,29,1,1
2849,2790,6597,28719,2964,15335,18,1,1
2452,3479,5572,28353,2701,15785,16,1,0
2351,4193,4619,27901,1914,17323,14,1,1
4123,316,9202,29758,2997,14795,42,1,1
4312,1410,7405,29388,3081,15648,31,1,1
3870,1580,7516,29422,2486,16822,60,1,1
2950,1681,7866,29312,1830,16592,71,1,1
2985,1747,7891,29295,1669,15114,65,1,1
2881,2326,8798,29706,1499,15332,93,1,1
2937,1752,7428,29462,2522,16144,75,1,1
2888,1395,6020,28991,2645,15391,35,1,0
